p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,40, , ,96,32,128,balanced,sockets,5.987503290176392,2.1894070294714125,57.50123858451843
4,40, , ,8,256,80,scatter,sockets,5.971825838088989,2.9513367268789548,113.84613013267517
4,200, , ,96,256,20,compact,sockets,6.027814865112305,3.0596416017267223,170.11444425582886
4,200, , ,8,32,128,balanced,sockets,5.973496675491333,3.1956652247598534,226.62510681152344
4,40, , ,8,256,10,scatter,sockets,6.057362794876099,3.334410343182473,283.1535475254059
4,200, , ,2,128,80,scatter,sockets,6.000327110290527,3.5839651156827825,339.46214962005615
4,200, , ,8,128,128,balanced,sockets,6.107974529266357,3.7244878826634595,396.3255925178528
4,80, , ,32,32,128,balanced,threads,6.096189260482788,3.891919962737427,453.68742775917053
4,10,#pragma clang unrolling full, ,96,96,20,balanced,cores,6.180974721908569,3.9574491134913146,510.57906699180603
4,100, , ,128,256,80,compact,sockets,6.01506781578064,4.007640204369168,566.9141380786896
4,40, , ,32,256,80,balanced,threads,6.003506660461426,4.124670746816618,623.8095505237579
4,128, , ,8,4,80,balanced,sockets,6.090315341949463,4.20285420689769,681.2112011909485
4,40, , ,128,128,80,balanced,threads,6.0837812423706055,4.495576794052097,737.8099241256714
4,80, , ,8,256,100,balanced,sockets,6.056742191314697,4.555977118447697,794.4136233329773
4,200,#pragma clang unrolling full, ,64,8,10,compact,threads,6.155907392501831,4.567151624579104,852.1461274623871
4,10, , ,96,96,80,balanced,threads,6.088562726974487,4.575719149456063,908.7789008617401
4,128,#pragma clang unrolling full, ,96,32,160,scatter,threads,6.115900039672852,4.61372523924757,966.3184757232666
4,64, , ,8,96,128,balanced,sockets,6.112797021865845,4.718331817571187,1023.022894859314
4,40,#pragma clang unrolling full, ,8,4,128,balanced,sockets,6.055232524871826,4.740497256811809,1080.2659199237823
4,100, , ,256,2,10,balanced,threads,6.015834808349609,4.842598842127529,1136.7868735790253
4,200,#pragma clang unrolling full, ,16,256,80,balanced,sockets,6.0837414264678955,4.848553053406345,1193.4231469631195
4,100, , ,96,96,20,balanced,threads,6.070785999298096,4.867612793988087,1249.874614238739
4,200, , ,8,256,20,scatter,sockets,6.083468198776245,5.008302263072511,1306.90349650383
4,80, , ,96,256,10,scatter,sockets,6.054779767990112,5.057206495696426,1363.3704619407654
4,10,#pragma clang unrolling full, ,8,128,128,scatter,sockets,6.067755460739136,5.102397406462264,1419.9353559017181
4,200,#pragma clang unrolling full, ,256,2,128,compact,sockets,6.119717121124268,5.2652377975699185,1476.7623534202576
4,80,#pragma clang unrolling full, ,96,256,64,compact,threads,6.034970760345459,5.2807038361675085,1533.1575453281403
4,40, , ,2,128,128,balanced,sockets,6.126335859298706,5.473165332702259,1589.9704954624176
4,80,#pragma clang unrolling full, ,256,32,80,balanced,threads,6.080437660217285,5.577392160481224,1647.1832404136658
4,100, , ,96,256,128,compact,sockets,6.067625284194946,5.59567966406216,1703.7939541339874
