p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,10, , ,96,4,64,balanced,sockets,1.7601745128631592,1.165409422750359,44.872735023498535
4,200,#pragma clang unrolling full, ,8,96,10,balanced,sockets,1.6792116165161133,1.218244157101074,88.13260269165039
4,80,#pragma clang unrolling full, ,96,2,128,balanced,sockets,1.579939365386963,1.2428920907621994,131.31550884246826
4,40, , ,96,128,20,balanced,sockets,1.6833646297454834,1.262733646332102,174.9837863445282
4,64, , ,8,256,20,compact,sockets,1.6360225677490234,1.2633616763311477,218.12840867042542
4,80,#pragma clang unrolling full, ,2,96,80,balanced,cores,1.6003973484039307,1.3086265680846678,261.19960498809814
4,10,#pragma clang unrolling full, ,8,8,64,balanced,sockets,1.6035776138305664,1.4032176239218601,304.7875351905823
4,10, , ,8,256,20,scatter,sockets,1.6872684955596924,1.4497897816545877,348.4405982494354
4,100, , ,96,8,20,balanced,threads,1.7647349834442139,1.46562104418045,392.1557915210724
4,200, , ,2,128,20,balanced,sockets,1.7247049808502197,1.4685881082358043,435.6035249233246
4,80, , ,96,256,128,balanced,sockets,1.7559516429901123,1.490938610589385,479.1566562652588
4,80, , ,96,2,20,balanced,threads,1.6806223392486572,1.4930324299235755,522.8997795581818
4,40, , ,64,128,20,balanced,sockets,1.7032606601715088,1.4989146402560678,566.3203451633453
4,40,#pragma clang unrolling full, ,96,16,10,compact,threads,1.5960242748260498,1.5000840539660971,609.6487810611725
4,40,#pragma clang unrolling full, ,128,96,64,compact,threads,1.7076940536499023,1.6459254135292953,652.9482138156891
4,40, , ,8,96,10,balanced,sockets,1.720020055770874,1.6536264335541364,696.2915391921997
4,80, , ,96,96,64,scatter,sockets,1.6965346336364746,1.674791228782429,739.6051204204559
4,80,#pragma clang unrolling full, ,96,256,40,scatter,threads,1.6812469959259033,1.6930797903801322,782.9212200641632
4,40,#pragma clang unrolling full, ,96,32,80,scatter,sockets,1.665048360824585,1.708161814038049,826.239631652832
5,80, , ,8,32,80,compact,sockets,1.8929314613342285,1.7371924883411403,870.2965903282166
4,10,#pragma clang unrolling full, ,8,128,10,balanced,cores,1.715756893157959,1.741258263669522,913.6476480960846
4,80, , ,96,16,128,scatter,threads,1.7085697650909424,1.758391781210862,956.9163608551025
4,80, , ,2,32,20,compact,sockets,1.643129825592041,1.769952095520654,1000.283390045166
4,64, , ,96,256,20,scatter,sockets,1.7518188953399658,1.7964095014386792,1043.6355805397034
5,64,#pragma clang unrolling full, ,96,96,64,compact,sockets,2.015902519226074,1.8060586789251674,1088.1956572532654
4,200,#pragma clang unrolling full, ,96,2,10,balanced,sockets,1.7643015384674072,1.8160149780071466,1131.6890308856964
4,20,#pragma clang unrolling full, ,128,256,64,compact,sockets,1.6752848625183105,1.8229219404041292,1174.9078996181488
5,100,#pragma clang unrolling full, ,96,2,10,balanced,sockets,1.8609273433685303,1.866779037874863,1218.881066083908
4,40, , ,8,128,80,scatter,threads,1.656057596206665,1.8973552737203825,1262.276407957077
4,10, , ,128,32,160,balanced,sockets,1.7017717361450195,1.993094017715329,1305.3914756774902
