p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,100,#pragma clang unrolling full, ,2,96,80,compact,threads,16.546000957489014,6.55040253385988,89.23104763031006
4,80, , ,8,128,20,compact,sockets,16.518419981002808,6.80604210767368,176.9376199245453
4,80, , ,128,64,128,compact,sockets,16.410311937332153,8.32694710572279,264.72104692459106
4,128, , ,8,2,20,compact,threads,16.557359218597412,8.639125950064004,352.65672302246094
4,200, , ,2,256,64,balanced,threads,16.55626916885376,8.68098526306677,440.61784195899963
4,40,#pragma clang unrolling full, ,8,128,100,balanced,sockets,16.374757528305054,8.681944808527097,528.012889623642
4,100,#pragma clang unrolling full, ,96,256,128,balanced,threads,16.571041107177734,8.787593070152818,615.9127576351166
4,40, , ,8,128,80,balanced,cores,16.33889603614807,8.814659398898504,703.3528366088867
4,40, , ,8,2,80,scatter,sockets,16.440122365951538,8.95811747369875,791.0690896511078
5,200,#pragma clang unrolling full, ,8,96,80,compact,sockets,17.996753215789795,9.105366233122725,883.2225067615509
5,10, , ,96,96,80,balanced,sockets,17.95906114578247,9.1532929468739,975.475106716156
4,64,#pragma clang unrolling full, ,2,32,20,compact,threads,16.460674047470093,9.233636260398447,1063.3638935089111
4,80, , ,128,32,100,scatter,threads,16.446937561035156,9.297762162720812,1150.9689316749573
4,200, , ,8,128,128,scatter,threads,16.486868381500244,9.461714232869161,1238.7911369800568
4,10, , ,8,32,64,balanced,threads,16.512532711029053,9.871935489599084,1326.5279476642609
5,200, , ,64,256,20,balanced,sockets,18.017166137695312,10.396690545083485,1418.7423853874207
4,160, , ,256,96,64,scatter,sockets,16.412374258041382,10.475308231464249,1506.2337355613708
4,80, , ,8,128,80,balanced,sockets,16.461812257766724,10.481193979735519,1593.9924049377441
4,100, , ,2,256,64,balanced,threads,16.456397533416748,10.540311591712001,1681.3718786239624
4,200, , ,2,32,80,scatter,threads,16.477298974990845,10.596676115286456,1769.3124418258667
4,80,#pragma clang unrolling full, ,128,96,10,balanced,sockets,16.57473874092102,10.602880378536018,1857.2549674510956
4,80, , ,96,2,80,scatter,cores,16.445833683013916,10.632842493121933,1945.0041072368622
4,200,#pragma clang unrolling full, ,2,256,10,balanced,sockets,16.502995491027832,10.849868616579807,2032.943618297577
4,200,#pragma clang unrolling full, ,128,256,80,balanced,threads,16.531792640686035,10.874585023374433,2120.794657468796
4,64,#pragma clang unrolling full, ,128,96,10,scatter,threads,16.48188877105713,11.20681317186718,2208.4549145698547
4,64,#pragma clang unrolling full, ,8,256,20,compact,sockets,16.4852454662323,11.302515577612008,2296.1599683761597
4,80, , ,16,128,20,compact,cores,16.46870183944702,11.306450424016635,2383.907771587372
4,200, , ,8,64,40,balanced,sockets,16.52842926979065,11.32119370231537,2471.93630027771
4,40, , ,8,256,128,scatter,sockets,16.57878041267395,11.321629496220037,2561.4607651233673
4,80, , ,96,128,10,scatter,sockets,16.425971746444702,11.342564129836617,2649.366961479187
