p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
4,128, ,#pragma omp parallel for,8,64,160,scatter,threads,175,16.704169988632202,91.476393699646
6,40,#pragma clang unrolling full,#pragma omp parallel for,4,8,10,compact,sockets,175,17.36036229133606,179.3328161239624
4,20,#pragma clang unrolling full, ,2,256,64,scatter,cores,175,16.451411962509155,267.1812400817871
7,160, ,#pragma omp parallel for,4,16,20,compact,sockets,175,19.361421585083008,360.88367462158203
6,80, , ,128,4,80,scatter,cores,175,17.258130311965942,451.0881106853485
7,64,#pragma clang unrolling full,#pragma omp parallel for,256,8,80,compact,threads,175,19.329005241394047,544.9982514381409
5,200,#pragma clang unrolling full, ,8,32,64,balanced,cores,175,17.8804874420166,637.1397671699524
7,40, ,#pragma omp parallel for,64,128,200,balanced,cores,175,19.60034346580505,731.3168520927429
8,64,#pragma clang unrolling full,#pragma omp parallel for,64,128,40,scatter,threads,175,18.543733835220337,822.6287124156952
6,10, ,#pragma omp parallel for,16,96,160,compact,threads,175,17.495049953460693,910.6201455593108
5,100,#pragma clang unrolling full, ,32,2,128,balanced,sockets,175,18.155277490615845,1003.4645011425017
8,200, , ,96,32,100,compact,sockets,175,18.435814380645766,1098.30828332901
8,80,#pragma clang unrolling full,#pragma omp parallel for,128,2,20,scatter,threads,175,18.4761610031128,1190.9792189598086
4,128,#pragma clang unrolling full, ,256,16,40,balanced,cores,175,16.58496594429016,1279.1263301372528
5,10, , ,16,128,160,balanced,sockets,175,18.020259618759155,1371.804119348526
6,10,#pragma clang unrolling full,#pragma omp parallel for,16,96,80,compact,cores,175,17.38472294807434,1600.0414159297945
7,80, ,#pragma omp parallel for,8,16,20,compact,cores,175,19.57728672027588,1760.8068270683289
8,200,#pragma clang unrolling full, ,2,8,100,scatter,cores,175,18.36793041229248,1948.1530151367188
5,128,#pragma clang unrolling full,#pragma omp parallel for,256,96,20,scatter,cores,175,18.25615954399109,2112.8253364562993
5,80,#pragma clang unrolling full,#pragma omp parallel for,64,256,200,scatter,cores,175,18.417086362838745,2288.195554971695
5,40, , ,256,16,160,scatter,cores,175,17.972681283950806,2538.631435394287
5,40,#pragma clang unrolling full,#pragma omp parallel for,2,4,64,scatter,cores,175,18.095804691314694,2734.165030479431
8,200, ,#pragma omp parallel for,96,2,20,compact,cores,175,18.561950206756595,2969.92520904541
8,128,#pragma clang unrolling full, ,96,16,10,scatter,cores,175,18.18212342262268,3172.0448381900787
5,64,#pragma clang unrolling full,#pragma omp parallel for,4,256,80,compact,threads,175,18.25285387039185,3315.743720293045
8,80, ,#pragma omp parallel for,4,2,40,balanced,cores,175,18.310535669326786,3428.969188451767
6,40, ,#pragma omp parallel for,64,2,128,balanced,threads,175,17.48540711402893,3560.1166956424713
8,64,#pragma clang unrolling full,#pragma omp parallel for,64,128,200,scatter,threads,175,18.491648435592648,3835.7244272232056
7,100, ,#pragma omp parallel for,96,8,128,balanced,sockets,175,19.2928957939148,4028.964246988297
8,100, ,#pragma omp parallel for,96,8,80,balanced,sockets,175,18.654165267944336,4208.121070861816
