p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
6,80,#pragma clang unrolling full, ,2,16,160,scatter,threads,6.61167573928833,79.73562264442444
7,100,#pragma clang unrolling full, ,32,16,40,scatter,cores,7.158686399459839,141.73578786849976
7,100, , ,128,2,10,balanced,cores,7.2122626304626465,203.73448061943054
4,20,#pragma clang unrolling full, ,4,32,10,scatter,threads,6.000981569290161,261.7357006072998
8,80,#pragma clang unrolling full,#pragma omp parallel for,16,256,80,compact,threads,7.095219135284424,321.9294002056122
4,100,#pragma clang unrolling full,#pragma omp parallel for,2,4,64,scatter,sockets,6.216882228851318,378.4670672416687
5,40,#pragma clang unrolling full, ,96,256,128,balanced,cores,6.780931711196899,440.7355453968048
8,200, , ,8,96,40,scatter,threads,6.976189374923706,502.97359108924866
5,100,#pragma clang unrolling full, ,2,2,160,scatter,threads,6.740393400192261,565.1969759464264
4,160,#pragma clang unrolling full, ,2,8,200,scatter,threads,6.139862298965454,625.4442672729492
4,100,#pragma clang unrolling full,#pragma omp parallel for,2,128,10,scatter,threads,6.19717001914978,682.0893919467926
4,40,#pragma clang unrolling full, ,4,32,10,balanced,threads,5.9969117641448975,742.3646242618561
4,80,#pragma clang unrolling full,#pragma omp parallel for,4,64,10,compact,threads,6.156055927276611,798.825932264328
4,100,#pragma clang unrolling full, ,4,64,10,balanced,cores,6.17898416519165,859.1403141021729
4,100, , ,128,96,200,compact,cores,6.100029706954956,919.4049546718597
4,100,#pragma clang unrolling full, ,96,256,160,compact,threads,6.0198588371276855,979.7154927253723
4,10, , ,4,2,10,compact,cores,6.019111394882202,1039.9936640262604
4,160, , ,4,16,20,compact,threads,6.016173839569092,1100.5143404006958
4,10, , ,4,256,160,compact,threads,6.044827699661255,1160.7949974536896
4,40, , ,8,256,80,compact,threads,6.0707879066467285,1221.0942566394806
4,200, , ,32,256,10,compact,threads,6.03944730758667,1281.555094718933
4,64, , ,4,64,128,compact,sockets,6.103616952896118,1341.855560541153
4,40, , ,256,256,10,scatter,threads,6.08262825012207,1402.1595304012299
4,20, , ,4,32,100,balanced,threads,5.996681213378906,1462.531304359436
4,200,#pragma clang unrolling full, ,4,32,10,scatter,threads,6.140042066574097,1522.8479437828064
4,10, , ,64,32,80,balanced,threads,5.972043037414551,1585.1862163543701
4,10, , ,96,32,128,scatter,threads,6.1038641929626465,1645.5637171268463
4,100, , ,16,32,128,balanced,threads,6.040902137756348,1706.0025656223297
4,10, , ,8,32,20,balanced,cores,6.06610369682312,1766.3463380336761
4,100, , ,4,32,128,balanced,cores,6.044737339019775,1826.6876590251923
