p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
6,80,#pragma clang unrolling full, ,2,16,160,scatter,threads,17.452082633972168,109.79274559020996
7,100,#pragma clang unrolling full, ,32,16,40,scatter,cores,19.27598762512207,217.5862431526184
7,100, , ,128,2,10,balanced,cores,19.25563335418701,315.58721256256104
4,20,#pragma clang unrolling full, ,4,32,10,scatter,threads,16.73516535758972,405.58702540397644
8,80,#pragma clang unrolling full,#pragma omp parallel for,16,256,80,compact,threads,18.77583932876587,499.9662494659424
4,100,#pragma clang unrolling full,#pragma omp parallel for,2,4,64,scatter,sockets,17.008347511291504,590.1729650497437
5,40,#pragma clang unrolling full, ,96,256,128,balanced,cores,18.036008596420288,686.4763917922974
5,100, ,#pragma omp parallel for,64,256,200,scatter,threads,18.60936737060547,780.6911911964417
4,160,#pragma clang unrolling full, ,4,16,40,scatter,threads,16.577155828475952,871.4785170555115
4,160,#pragma clang unrolling full, ,2,16,80,scatter,threads,16.81780219078064,963.7394225597382
4,100, , ,2,32,160,scatter,threads,16.713508129119873,1056.091022014618
4,100,#pragma clang unrolling full, ,64,32,160,scatter,cores,16.628125429153442,1146.815912246704
4,100, ,#pragma omp parallel for,32,32,10,scatter,cores,17.081507682800293,1237.0998129844666
4,128,#pragma clang unrolling full, ,16,32,10,scatter,cores,16.627740144729614,1329.395968914032
4,20, , ,32,32,200,compact,cores,16.872929573059082,1421.6877341270447
4,40,#pragma clang unrolling full, ,32,16,100,compact,threads,16.74064874649048,1513.9768106937408
4,40,#pragma clang unrolling full,#pragma omp parallel for,8,16,64,compact,threads,16.944615125656128,1604.3655202388763
4,40, , ,128,256,10,balanced,threads,16.80500292778015,1696.6698276996613
4,100,#pragma clang unrolling full, ,32,256,10,balanced,threads,16.76524782180786,1789.0011315345764
4,20,#pragma clang unrolling full, ,32,256,160,balanced,cores,16.60573124885559,1881.3155272006989
4,100,#pragma clang unrolling full, ,128,16,160,balanced,cores,16.729130506515503,1973.654492855072
4,128, , ,64,256,160,scatter,cores,16.694367170333862,2066.16996216774
4,100, , ,128,256,160,balanced,sockets,16.864710330963135,2158.4999215602875
4,200,#pragma clang unrolling full, ,32,2,160,scatter,cores,16.85433030128479,2251.069422483444
4,200,#pragma clang unrolling full, ,32,96,160,scatter,cores,16.616127490997314,2343.398823261261
4,40,#pragma clang unrolling full, ,32,128,10,scatter,cores,17.01257061958313,2435.7919311523438
4,100, , ,256,256,160,scatter,cores,16.684114456176758,2528.125585794449
4,100, , ,4,32,160,scatter,cores,16.703999996185303,2620.4545295238495
4,160,#pragma clang unrolling full, ,128,4,160,scatter,threads,16.543919801712036,2711.166784763336
4,160,#pragma clang unrolling full, ,128,128,160,compact,cores,16.83255362510681,2803.5697598457336
