p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5,80,#pragma clang unrolling full,#pragma omp parallel for,256,16,80,scatter,sockets,11.75924038887024,88.96444249153137
6,100, ,#pragma omp parallel for,32,64,40,compact,threads,11.195158004760742,159.25143671035767
5,10,#pragma clang unrolling full,#pragma omp parallel for,128,64,80,balanced,threads,11.72310733795166,230.96315836906433
4,64, ,#pragma omp parallel for,16,2,128,compact,sockets,10.75999116897583,300.96346950531006
8,40, , ,256,128,80,compact,threads,11.490362644195557,377.2102723121643
8,200, ,#pragma omp parallel for,8,8,100,compact,cores,11.808847427368164,451.491822719574
4,200,#pragma clang unrolling full, ,96,16,100,balanced,sockets,10.507644653320312,524.0466394424438
4,64, ,#pragma omp parallel for,16,32,200,scatter,sockets,10.584818601608276,594.3366153240204
4,80, ,#pragma omp parallel for,96,16,160,balanced,sockets,10.750908136367798,664.90842628479
4,40,#pragma clang unrolling full,#pragma omp parallel for,96,2,40,scatter,sockets,10.625950574874878,735.2373704910278
4,64,#pragma clang unrolling full,#pragma omp parallel for,96,8,80,balanced,sockets,10.645152807235718,805.6296257972717
4,100,#pragma clang unrolling full, ,96,128,40,scatter,sockets,10.491902351379395,878.2530460357666
4,10,#pragma clang unrolling full, ,96,256,80,scatter,sockets,10.450335502624512,950.7665889263153
4,40,#pragma clang unrolling full, ,32,128,80,scatter,cores,10.496978998184204,1023.2842555046082
4,80,#pragma clang unrolling full, ,96,2,200,scatter,cores,10.524132490158081,1095.8995399475098
4,10,#pragma clang unrolling full, ,64,4,80,scatter,sockets,10.524062633514404,1170.2574305534363
4,100,#pragma clang unrolling full, ,32,8,80,scatter,threads,10.54461669921875,1244.696365594864
4,80, , ,128,8,80,compact,threads,10.420432329177856,1317.3590795993805
4,80,#pragma clang unrolling full, ,2,96,80,compact,threads,10.465521335601807,1390.1129994392395
4,100, , ,2,4,80,compact,threads,10.460654973983765,1462.6398813724518
4,80,#pragma clang unrolling full, ,64,256,80,compact,threads,10.468260526657104,1535.0789353847504
4,80, , ,32,16,80,compact,threads,10.543076276779175,1607.812991142273
4,10, , ,128,128,80,compact,threads,10.489628314971924,1680.8369524478912
4,80, , ,64,128,80,compact,cores,10.499276399612427,1753.6654243469238
4,80, , ,16,128,128,compact,threads,10.4202241897583,1826.404735326767
4,40, , ,4,128,80,compact,threads,10.483155250549316,1898.8143475055695
4,40, , ,2,128,160,compact,threads,10.379289388656616,1971.3037543296814
4,40, , ,2,256,160,compact,threads,10.440593242645264,2044.035383939743
4,40, , ,128,16,128,compact,threads,10.492732286453247,2116.6228487491608
4,40, , ,2,128,10,balanced,cores,10.497304201126099,2189.3691549301147
4,40, , ,128,128,10,compact,threads,10.536675930023193,2262.2542939186096
4,40,#pragma clang unrolling full, ,64,256,128,compact,threads,10.452054977416992,2334.6804151535034
4,40,#pragma clang unrolling full,#pragma omp parallel for,2,128,80,compact,threads,10.771430015563965,2405.5042552948
4,40,#pragma clang unrolling full, ,32,8,80,compact,threads,10.526781797409058,2478.5827791690826
4,20,#pragma clang unrolling full, ,2,128,80,compact,threads,10.43033742904663,2551.1823830604553
4,40,#pragma clang unrolling full, ,2,32,80,balanced,threads,10.484924077987671,2623.90682554245
4,40, , ,2,16,80,balanced,cores,10.484018325805664,2696.7802414894104
4,40, , ,128,128,80,scatter,cores,10.463314771652222,2769.5182230472565
4,80, , ,2,128,10,compact,threads,10.41622519493103,2841.9648122787476
4,128, , ,2,128,80,scatter,sockets,10.50012731552124,2914.7400929927826
4,10, , ,2,128,20,compact,threads,10.60432481765747,2987.780492544174
4,40,#pragma clang unrolling full, ,16,128,80,compact,sockets,10.579304933547974,3062.2234859466553
4,20, ,#pragma omp parallel for,2,16,40,compact,threads,10.645058631896973,3132.676057577133
4,40,#pragma clang unrolling full, ,2,128,80,scatter,threads,10.420850038528442,3205.403731584549
4,40, , ,2,16,80,scatter,threads,10.470521688461304,3278.2212612628937
4,40,#pragma clang unrolling full, ,16,128,80,compact,threads,10.475022077560425,3351.360865831375
4,40, , ,64,256,80,balanced,cores,10.525309562683105,3423.8949389457703
4,40, , ,64,128,10,scatter,threads,10.39861536026001,3496.6833794116974
4,40, , ,96,128,128,compact,threads,10.528752565383911,3569.4751126766205
4,80, , ,96,128,80,compact,threads,10.571591854095459,3644.00922870636
4,40, , ,64,16,80,compact,threads,10.455453634262085,3716.4590888023376
4,40,#pragma clang unrolling full, ,2,16,10,compact,threads,10.458241701126099,3789.3698942661285
4,40, , ,2,16,200,compact,cores,10.511912107467651,3862.244819164276
4,80, ,#pragma omp parallel for,4,16,128,scatter,threads,10.659595727920532,3932.769921541214
4,40, , ,8,128,100,compact,threads,10.544112205505371,4005.647399187088
4,80, , ,2,16,40,compact,threads,10.501304388046265,4078.439273118973
4,40, , ,64,128,80,scatter,threads,10.639190673828125,4151.389767169952
4,40, , ,2,128,64,scatter,threads,10.48362684249878,4224.504296302795
4,200, , ,8,128,80,compact,threads,10.551704406738281,4297.369757652283
4,40, , ,4,16,80,compact,threads,10.595695495605469,4370.350484609604
4,80, , ,8,256,80,scatter,cores,10.589229822158813,4444.8348388671875
4,40,#pragma clang unrolling full, ,64,128,80,compact,cores,10.528348922729492,4519.3681218624115
4,40, , ,2,128,80,compact,cores,10.492285251617432,4592.093706846237
4,40,#pragma clang unrolling full, ,2,128,100,compact,threads,10.435812950134277,4664.986248731613
4,40, , ,128,128,10,compact,sockets,10.425430059432983,4737.827866315842
4,40, , ,2,8,40,balanced,threads,10.503931045532227,4810.851149320602
4,80, , ,2,8,10,balanced,threads,10.608821630477905,4885.31220293045
4,40, , ,128,8,10,compact,sockets,10.583104133605957,4958.179746389389
4,10,#pragma clang unrolling full, ,8,256,10,compact,threads,10.460265874862671,5030.833224773407
4,10,#pragma clang unrolling full, ,2,256,10,scatter,threads,10.551095962524414,5103.816259622574
4,10,#pragma clang unrolling full,#pragma omp parallel for,8,64,80,scatter,threads,10.604717016220093,5174.279312610626
4,200, , ,2,128,100,compact,threads,10.603459358215332,5250.74399971962
4,40, , ,2,64,10,scatter,threads,10.491323947906494,5323.477910518646
4,40, , ,2,64,10,compact,threads,10.505507707595825,5396.096850156784
4,40, , ,256,64,10,compact,threads,10.616827249526978,5470.5697412490845
4,40, , ,96,64,80,scatter,threads,10.492131471633911,5543.507609367371
4,128,#pragma clang unrolling full,#pragma omp parallel for,256,4,80,scatter,threads,10.68475890159607,5614.195067167282
4,40, , ,8,128,10,scatter,threads,10.427086353302002,5686.813433647156
4,40, , ,256,128,10,scatter,cores,10.461434602737427,5759.6191465854645
4,80,#pragma clang unrolling full, ,256,128,10,scatter,cores,10.523531675338745,5832.432713508606
4,80,#pragma clang unrolling full, ,256,256,200,compact,cores,10.527899026870728,5905.455804109573
4,20,#pragma clang unrolling full, ,256,256,40,compact,threads,10.472983598709106,5978.437351465225
4,200,#pragma clang unrolling full, ,256,256,64,compact,threads,10.456318140029907,6052.990837097168
4,40,#pragma clang unrolling full, ,256,128,64,compact,threads,10.520339250564575,6125.851234436035
4,40, , ,256,128,200,scatter,cores,10.436146020889282,6200.335031509399
4,40, , ,256,128,64,scatter,threads,10.467936515808105,6273.077288150787
4,40, , ,256,128,10,compact,threads,10.547252893447876,6345.983148574829
4,100, , ,256,128,20,scatter,threads,10.472107172012329,6418.718407392502
4,128, , ,256,128,128,scatter,threads,10.48793363571167,6491.373191356659
4,80, ,#pragma omp parallel for,256,64,80,scatter,threads,10.699081420898438,6561.859676361084
4,64,#pragma clang unrolling full, ,256,64,80,compact,threads,10.604476928710938,6636.406859874725
4,40, , ,256,256,80,balanced,cores,10.45634126663208,6708.983144760132
4,80,#pragma clang unrolling full,#pragma omp parallel for,256,2,128,scatter,threads,10.644610404968262,6779.48995757103
4,40, , ,256,128,160,scatter,cores,10.556800842285156,6852.327174425125
4,40, , ,256,128,128,balanced,threads,10.436325788497925,6925.035461425781
4,100,#pragma clang unrolling full, ,256,4,80,compact,threads,10.432206869125366,6997.558789730072
4,10,#pragma clang unrolling full, ,256,256,80,balanced,threads,10.463725328445435,7070.354818344116
4,40, , ,256,16,80,balanced,cores,10.56811261177063,7144.868378400803
4,10,#pragma clang unrolling full, ,2,32,80,compact,threads,10.559038877487183,7219.446346759796
4,160, , ,256,256,80,compact,threads,10.507709980010986,7292.2416908741
4,40, , ,256,96,80,scatter,threads,10.510939598083496,7365.037533998489
4,64,#pragma clang unrolling full, ,256,128,80,compact,sockets,10.596609354019165,7437.88733625412
4,20,#pragma clang unrolling full, ,256,128,80,compact,threads,10.571035385131836,7510.879639625549
4,80,#pragma clang unrolling full, ,256,256,80,compact,threads,10.568021774291992,7583.576759815216
4,80,#pragma clang unrolling full, ,128,8,80,compact,threads,10.416362285614014,7656.0758497715
4,100,#pragma clang unrolling full, ,128,8,40,compact,threads,10.456794261932373,7728.795590877533
4,40,#pragma clang unrolling full, ,256,128,128,scatter,threads,10.554815530776978,7801.796765804291
4,128,#pragma clang unrolling full, ,128,8,20,balanced,threads,10.47939658164978,7874.815311670303
4,100, , ,256,128,80,scatter,threads,10.632688045501709,7949.33825802803
4,80,#pragma clang unrolling full,#pragma omp parallel for,256,64,80,scatter,threads,10.776906251907349,8020.023158073425
4,40,#pragma clang unrolling full, ,256,128,80,scatter,threads,10.55101990699768,8092.839356422424
4,128, , ,256,128,160,compact,threads,10.487796068191528,8165.910634756088
4,128,#pragma clang unrolling full,#pragma omp parallel for,256,64,80,compact,cores,10.699882507324219,8236.445418596268
4,40, , ,256,128,160,balanced,sockets,10.53470778465271,8309.427257537842
4,100, , ,256,64,80,compact,threads,10.4601469039917,8382.141345500946
4,160, , ,256,128,80,compact,sockets,10.571558952331543,8456.731020450592
4,160, , ,256,8,80,compact,cores,10.508635520935059,8529.549340486526
4,128,#pragma clang unrolling full, ,256,128,80,balanced,threads,10.535934925079346,8602.361216545105
4,40, , ,256,128,80,compact,cores,10.57164478302002,8675.226363658905
4,40,#pragma clang unrolling full, ,256,32,80,compact,threads,10.531664609909058,8748.203663110733
4,40, , ,256,16,128,compact,cores,10.588079452514648,8822.73235154152
4,200,#pragma clang unrolling full,#pragma omp parallel for,32,64,80,scatter,cores,10.615170955657959,8893.340314626694
4,10,#pragma clang unrolling full,#pragma omp parallel for,128,64,80,scatter,cores,10.748197793960571,8963.880191326141
4,10,#pragma clang unrolling full,#pragma omp parallel for,96,16,40,scatter,cores,10.620018243789673,9034.736048698425
4,40,#pragma clang unrolling full,#pragma omp parallel for,256,16,40,balanced,cores,10.664148330688477,9105.268483400345
4,80, ,#pragma omp parallel for,8,64,200,balanced,cores,10.558091640472412,9175.807981729507
4,20, , ,256,128,80,compact,threads,10.492536544799805,9248.55313372612
4,10, ,#pragma omp parallel for,64,64,160,balanced,cores,10.739015102386475,9319.316755533218
4,40, , ,256,128,64,compact,threads,10.575673580169678,9392.312918663025
4,80,#pragma clang unrolling full,#pragma omp parallel for,96,96,80,scatter,sockets,10.704294919967651,9462.937724113464
4,40, , ,256,256,80,compact,sockets,10.555003643035889,9535.940746068954
4,40,#pragma clang unrolling full, ,256,64,80,compact,sockets,10.499091625213623,9609.211456298828
4,80,#pragma clang unrolling full,#pragma omp parallel for,8,2,40,compact,sockets,10.7080397605896,9679.694272994995
4,10,#pragma clang unrolling full,#pragma omp parallel for,8,16,80,compact,threads,10.601260900497437,9750.259250164032
4,80, ,#pragma omp parallel for,8,16,20,balanced,cores,10.668432712554932,9820.823207139969
4,10, ,#pragma omp parallel for,8,256,10,compact,cores,10.675930500030518,9891.460345983505
4,10, ,#pragma omp parallel for,8,256,40,compact,cores,10.7637300491333,9962.154662132263
4,128,#pragma clang unrolling full, ,2,128,200,compact,threads,10.631007194519043,10036.735347270966
4,40, ,#pragma omp parallel for,8,16,200,compact,threads,10.632119178771973,10107.30254483223
4,40, , ,2,128,64,compact,threads,10.542106628417969,10180.429019212723
4,64, ,#pragma omp parallel for,8,16,100,compact,cores,10.724272727966309,10251.286594629288
8,80,#pragma clang unrolling full, ,128,256,80,compact,threads,11.644368886947632,10327.836838245392
4,80,#pragma clang unrolling full, ,128,256,100,compact,threads,10.583484888076782,10400.77687716484
4,80,#pragma clang unrolling full, ,2,256,160,scatter,threads,10.598929405212402,10473.689358711243
4,80,#pragma clang unrolling full, ,128,256,100,compact,cores,10.380516052246094,10546.821299552917
4,80, , ,128,256,128,scatter,cores,10.465329647064209,10619.559931755066
4,80, , ,128,8,160,compact,cores,10.461086988449097,10692.453463315964
4,80,#pragma clang unrolling full, ,128,8,40,balanced,cores,10.514578104019165,10765.28003334999
4,80,#pragma clang unrolling full, ,128,256,20,scatter,cores,10.641239881515503,10839.889100313187
4,80,#pragma clang unrolling full, ,128,96,80,compact,threads,10.44498586654663,10912.723409414291
4,20,#pragma clang unrolling full, ,128,256,64,compact,cores,10.487539052963257,10985.473529577255
4,20,#pragma clang unrolling full, ,128,256,80,compact,threads,10.50387167930603,11058.016103744507
4,80, , ,128,256,160,compact,sockets,10.507328987121582,11130.828615665436
4,80, , ,128,256,128,compact,threads,10.548930168151855,11203.83409357071
4,64, , ,128,256,40,scatter,cores,10.49598479270935,11278.364961624146
4,160, , ,128,256,80,compact,sockets,10.553236961364746,11351.241520404816
4,128,#pragma clang unrolling full, ,128,256,64,compact,sockets,10.517521381378174,11425.854906320572
4,64,#pragma clang unrolling full, ,128,256,80,balanced,cores,10.572422504425049,11500.410084962845
4,80,#pragma clang unrolling full, ,4,256,80,compact,threads,10.447750091552734,11573.165913581848
4,80,#pragma clang unrolling full, ,96,256,80,scatter,cores,10.53180480003357,11646.220631361008
4,80,#pragma clang unrolling full, ,128,256,64,compact,cores,10.583183288574219,11719.363507032394
4,80, , ,16,256,80,balanced,threads,10.516658782958984,11792.377348899841
4,80,#pragma clang unrolling full, ,128,256,128,scatter,cores,10.508931875228882,11865.228320598602
4,40,#pragma clang unrolling full, ,256,256,80,balanced,threads,10.520917415618896,11938.152703285217
4,128, , ,128,256,80,balanced,cores,10.46764850616455,12011.10439991951
4,80,#pragma clang unrolling full, ,128,256,160,compact,sockets,10.491382122039795,12083.783438205719
4,20,#pragma clang unrolling full, ,128,256,80,scatter,cores,10.511776208877563,12156.480768442154
4,80,#pragma clang unrolling full, ,64,256,80,balanced,threads,10.464122772216797,12229.26446056366
4,80,#pragma clang unrolling full, ,128,256,80,compact,sockets,10.499817848205566,12301.995599269867
4,40,#pragma clang unrolling full, ,128,256,80,compact,threads,10.499793291091919,12374.747920513153
4,80,#pragma clang unrolling full, ,32,256,200,compact,threads,10.486980438232422,12447.59408402443
4,80,#pragma clang unrolling full, ,128,2,80,compact,threads,10.487558603286743,12520.563121318817
4,40, , ,128,256,100,scatter,threads,10.452035665512085,12593.418677330017
4,80, , ,128,256,10,compact,cores,10.557075023651123,12668.043452739716
4,64,#pragma clang unrolling full, ,128,256,80,balanced,threads,10.519712448120117,12740.97885465622
4,80,#pragma clang unrolling full, ,128,256,80,balanced,threads,10.473811864852905,12813.784497737885
4,80,#pragma clang unrolling full, ,96,8,160,compact,threads,10.483959674835205,12886.76973938942
4,80,#pragma clang unrolling full, ,128,256,160,balanced,threads,10.515077114105225,12959.849987745285
4,20, , ,2,128,10,compact,threads,10.542542219161987,13032.9115087986
4,80, , ,128,256,10,balanced,threads,10.479555368423462,13105.901068925858
4,40, , ,256,64,80,balanced,threads,10.445456981658936,13178.653836965561
4,40,#pragma clang unrolling full, ,256,32,160,compact,threads,10.53623080253601,13253.233418226242
4,64, ,#pragma omp parallel for,8,64,200,balanced,threads,10.759952306747437,13323.806666851044
4,160, , ,128,256,128,balanced,threads,10.544669151306152,13397.044477462769
4,20, , ,256,128,80,scatter,threads,10.457388401031494,13469.697235107422
4,40,#pragma clang unrolling full, ,2,128,10,compact,threads,10.529208660125732,13542.79605436325
4,80, , ,128,256,80,compact,cores,10.51575756072998,13615.916879415512
4,10, , ,256,128,80,compact,threads,10.467907428741455,13688.733961343765
4,80, , ,2,256,80,compact,threads,10.487871885299683,13761.4337079525
4,40,#pragma clang unrolling full, ,256,256,160,compact,threads,10.57742953300476,13836.257627487183
4,40,#pragma clang unrolling full, ,128,256,128,compact,threads,10.488804578781128,13909.033128738403
4,80, , ,128,8,20,compact,threads,10.485174179077148,13981.942764282227
4,40, , ,256,128,100,compact,sockets,10.471519708633423,14054.542671442032
4,10, , ,128,256,80,compact,threads,10.588325262069702,14127.564828395844
4,40, , ,64,128,20,scatter,threads,10.465204954147339,14200.39206647873
4,80, , ,128,256,100,scatter,sockets,10.527021169662476,14273.345234155655
4,80,#pragma clang unrolling full, ,64,256,80,balanced,cores,10.615151643753052,14347.94029211998
4,40,#pragma clang unrolling full, ,16,128,80,scatter,threads,10.501578569412231,14422.588213682175
4,40, , ,64,64,10,scatter,threads,10.502673149108887,14495.506432533264
4,40,#pragma clang unrolling full, ,64,128,80,scatter,sockets,10.468546867370605,14568.251049280167
