p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,128,balanced,cores,0.46654,0.04082029132809639,21.108920097351074
32,100, , ,32,256,20,disabled,sockets,0.46582500000000004,0.04443083370251133,40.88105821609497
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,80,balanced,cores,0.47008000000000005,0.060885162991827446,60.829076290130615
32,100, , ,32,8,80,balanced,cores,0.471925,0.08947164426428977,80.53299856185913
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,100,balanced,cores,0.485375,0.09583865276080272,100.72495937347412
64,100,#pragma clang loop unrolling full, ,8,16,80,balanced,cores,0.4785,0.09711666013386833,120.41454410552979
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,balanced,sockets,0.48455000000000004,0.10932897411670506,140.3410153388977
32,100, ,#pragma omp parallel for,8,256,64,balanced,sockets,0.47165,0.1114469044146773,160.2903769016266
64,100, , ,16,32,10,none,cores,0.48244,0.11338702941960188,179.980966091156
32,100, ,#pragma omp parallel for,96,2,200,balanced,cores,0.470855,0.11507906411650859,199.82126331329346
32,100,#pragma clang loop unrolling full, ,256,4,20,balanced,threads,0.46997,0.12484709643458503,219.26110887527466
32,100, ,#pragma omp parallel for,96,4,10,balanced,sockets,0.46784000000000003,0.12978767046154127,239.14898824691772
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,10,balanced,cores,0.46753,0.13069842451985958,259.0891649723053
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,80,balanced,cores,0.469635,0.1327604836979075,278.8855211734772
32,100,#pragma clang loop unrolling full, ,256,256,160,disabled,sockets,0.46965500000000004,0.1334477859298172,298.24506402015686
32,100, ,#pragma omp parallel for,256,128,20,balanced,cores,0.4704,0.13386950365080053,318.32106041908264
48,100, , ,128,16,80,balanced,cores,0.471635,0.13656266663937677,337.95717000961304
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,80,balanced,cores,0.47013000000000005,0.13805459465804293,357.85317301750183
48,100, , ,64,2,80,balanced,cores,0.477285,0.13847314201518923,377.432865858078
32,100,#pragma clang loop unrolling full, ,64,16,160,balanced,sockets,0.470155,0.13889569476165797,397.19721722602844
48,100,#pragma clang loop unrolling full, ,32,64,128,balanced,cores,0.47872,0.14051151374004311,416.9612662792206
48,100, ,#pragma omp parallel for,8,32,160,balanced,sockets,0.47936999999999996,0.1407763719570233,437.00898599624634
48,100, , ,32,4,128,scatter,cores,0.481865,0.1426872800843536,456.60497784614563
48,100, ,#pragma omp parallel for,32,32,128,disabled,cores,0.485815,0.14298731705680223,476.63279914855957
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,128,balanced,sockets,0.47056,0.1467859170496849,496.50504183769226
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,100,balanced,cores,0.46960999999999997,0.14730367686474466,516.2092652320862
32,100, , ,16,4,80,disabled,sockets,0.470075,0.14974968767386254,535.9370155334473
32,100,#pragma clang loop unrolling full, ,256,32,160,balanced,cores,0.46914500000000003,0.15000392814317454,555.6527767181396
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,64,balanced,cores,0.477565,0.15074820043154646,575.9249057769775
32,100,#pragma clang loop unrolling full, ,8,8,200,balanced,cores,0.4696,0.1520567175228561,595.5052337646484
