p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
64,100,#pragma clang loop unrolling full, ,2,128,160,disabled,cores,9.436634999999999,1560.79806886835,113.61997556686401
64,100, , ,64,64,100,balanced,cores,9.415665,1577.5567861689751,232.3600995540619
32,1280, , ,128,32,160,disabled,sockets,9.494315,1657.1695172014424,345.18004846572876
64,640, , ,96,4,64,disabled,sockets,9.6397,1809.1874149318244,455.2279419898987
48,100,#pragma clang loop unrolling full, ,4,4,100,disabled,sockets,9.504805000000001,1845.6273237010837,565.2602481842041
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,64,compact,sockets,9.5481,1853.0620646380355,673.9522716999054
48,100, , ,96,128,200,compact,cores,9.50614,1926.2067585849202,782.7000617980957
64,100, , ,32,64,100,balanced,cores,9.548065,1939.2893026060208,890.7845299243927
48,100,#pragma clang loop unrolling full, ,8,64,200,balanced,threads,9.492944999999999,1951.379516483886,1000.4879682064056
64,100, , ,4,32,128,disabled,threads,9.382819999999999,1962.0072630352872,1112.4640655517578
32,100,#pragma clang loop unrolling full, ,64,256,100,explicit,cores,9.541915,2024.9181610509113,1222.8644919395447
32,100, , ,2,32,10,balanced,threads,9.386849999999999,2057.777975105737,1334.7040808200836
64,100,#pragma clang loop unrolling full, ,4,128,200,disabled,threads,9.564395,2063.9137671044655,1447.0246329307556
64,100, , ,32,64,64,compact,sockets,9.471165,2077.8973324395047,1558.4775850772858
48,100,#pragma clang loop unrolling full, ,32,64,40,scatter,threads,9.47111,2082.5865234728926,1667.536039352417
64,100, , ,64,2,100,disabled,sockets,9.527215,2085.4707913157185,1778.3082206249237
32,100, , ,256,4,64,disabled,sockets,9.392415,2104.017609001077,1887.508463859558
48,100,#pragma clang loop unrolling full, ,96,96,64,disabled,sockets,9.433485000000001,2114.387537879808,1998.6240556240082
32,100, ,#pragma omp parallel for,16,32,160,disabled,sockets,9.48784,2117.3090686807313,2109.520018339157
48,100, , ,16,2,20,compact,threads,9.50414,2120.2640639493416,2222.207738876343
32,100, , ,96,16,160,compact,sockets,9.428809999999999,2131.6150528073686,2333.396118402481
32,100,#pragma clang loop unrolling full, ,32,256,40,compact,threads,9.536715000000001,2133.4834402684774,2445.1998970508575
48,100, , ,16,256,80,balanced,sockets,9.558810000000001,2147.028927279913,2560.560033082962
32,100, , ,96,256,80,none,sockets,9.55294,2149.166218531041,2674.2919750213623
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,80,compact,threads,9.53383,2176.4737536991424,2784.607729911804
64,100, , ,256,256,100,compact,sockets,9.47483,2180.2318052039695,2895.5920038223267
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,160,scatter,threads,9.47014,2198.103693514634,3005.412177801132
64,100, ,#pragma omp parallel for,32,256,40,disabled,sockets,9.517045,2199.972553467097,3119.6159491539
32,100,#pragma clang loop unrolling full, ,32,64,100,disabled,sockets,9.283155,2205.45576005749,3229.0127210617065
64,100,#pragma clang loop unrolling full, ,32,4,128,compact,sockets,9.565545,2215.140300087119,3340.772456884384
