p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
192,200, , ,256,4,80,none,threads,0.565625,51.479487657547
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,64,disabled,cores,0.8419449999999999,75.44588279724121
128,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,160,compact,cores,0.5323450000000001,97.47989821434021
128,640,#pragma clang loop unrolling full, ,128,4,10,compact,threads,0.5728249999999999,119.44008302688599
256,400, , ,2,128,200,explicit,cores,0.6303300000000001,143.71876287460327
256,400, ,#pragma omp parallel for,4,96,64,none,sockets,0.6027899999999999,168.19933938980103
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,128,scatter,cores,0.520305,190.6629240512848
48,800, ,#pragma omp parallel for,128,2,200,disabled,cores,0.5434950000000001,213.24923872947693
8,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,40,explicit,cores,1.28261,243.61266565322876
256,1600, ,#pragma omp parallel for,16,2,10,balanced,sockets,0.84622,270.40785217285156
96,400,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,100,none,cores,0.572275,294.8371033668518
128,400,#pragma clang loop unrolling full, ,64,128,20,none,cores,0.58771,319.19912600517273
128,400,#pragma clang loop unrolling full, ,16,2,100,none,cores,0.606955,343.5709955692291
128,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,10,explicit,cores,0.56958,367.92120814323425
128,400,#pragma clang loop unrolling full, ,96,64,80,explicit,cores,0.5821000000000001,390.8642463684082
128,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,80,scatter,cores,0.553785,415.26909279823303
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,200,explicit,cores,0.5206200000000001,437.8601338863373
128,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,128,explicit,threads,0.54549,462.293949842453
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,128,explicit,threads,0.509695,484.75493478775024
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,128,explicit,sockets,0.792905,511.1680111885071
128,640,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,200,explicit,cores,0.604865,535.6394102573395
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,80,explicit,threads,0.528975,558.5804209709167
32,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,200,explicit,threads,0.5082800000000001,581.1427984237671
96,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,160,explicit,threads,0.54435,605.8683571815491
256,640,#pragma clang loop unrolling full, ,96,2,128,explicit,threads,0.67874,630.132043838501
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,200,scatter,threads,0.5296000000000001,652.8685584068298
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,200,explicit,cores,2.57623,695.3422245979309
8,400, ,#pragma omp parallel for,96,128,200,balanced,threads,1.27091,725.9068138599396
128,200,#pragma clang loop unrolling full, ,4,96,200,explicit,threads,0.555495,748.5244889259338
128,200,#pragma clang loop unrolling full, ,4,32,200,explicit,threads,0.56211,771.3708348274231
