p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
192,1000, , ,64,16,200,disabled,threads,0.35338,15.184802770614624
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,10,compact,sockets,0.15611000000000003,30.37397575378418
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,10,balanced,cores,0.490025,45.994988441467285
192,1600, ,#pragma omp parallel for,4,4,200,disabled,cores,0.433555,61.89740204811096
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,40,none,sockets,0.40996999999999995,77.9626190662384
96,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,40,balanced,sockets,0.20355499999999999,92.91097044944763
64,1000,#pragma clang loop unrolling full, ,16,96,64,scatter,threads,0.15767,107.61415529251099
8,1000, ,#pragma omp parallel for,128,4,10,none,sockets,0.26008,122.62610745429993
32,200, ,#pragma omp parallel for,4,4,160,balanced,cores,0.09603,137.33720803260803
2,100, , ,32,4,160,disabled,sockets,0.984495,154.39538311958313
2,2000,#pragma clang loop unrolling full, ,96,96,160,explicit,cores,0.97551,171.44582080841064
192,400, , ,64,32,80,compact,threads,0.17718,185.89161896705627
64,100,#pragma clang loop unrolling full, ,4,128,160,scatter,cores,0.109735,200.2751579284668
192,200,#pragma clang loop unrolling full, ,64,2,200,explicit,cores,0.174385,214.91929602622986
192,640, , ,128,256,10,compact,cores,0.153945,229.3299264907837
4,1280,#pragma clang loop unrolling full, ,256,2,100,compact,threads,0.5998600000000001,245.3437523841858
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,20,explicit,cores,0.233985,260.39922618865967
96,2000, , ,16,4,128,disabled,sockets,0.27697000000000005,275.2726581096649
8,2000,#pragma clang loop unrolling full, ,128,256,80,none,sockets,0.279145,290.36259412765503
256,400,#pragma clang loop unrolling full, ,128,64,160,balanced,threads,0.163115,304.7819814682007
96,1280, ,#pragma omp parallel for,2,2,160,disabled,cores,0.22297499999999998,320.1445927619934
96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,10,explicit,threads,0.208255,335.18361830711365
256,1600, , ,64,256,20,balanced,cores,0.421365,350.53835797309875
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,explicit,threads,0.25026499999999996,365.693359375
96,100, , ,8,96,40,scatter,sockets,0.11691,380.0497977733612
192,200, , ,96,256,64,scatter,cores,0.16466,394.6586010456085
48,800, , ,64,128,200,none,threads,0.141935,409.5903298854828
96,1000, ,#pragma omp parallel for,128,256,64,balanced,cores,0.17470000000000002,424.5051248073578
192,400, ,#pragma omp parallel for,16,64,40,compact,sockets,0.19055,439.6142477989197
8,1280, , ,8,64,20,disabled,cores,0.252415,454.3618094921112
16,800,#pragma clang loop unrolling full, ,256,16,200,none,sockets,0.1407,468.87475395202637
