p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
64,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,1,111.94120073318481
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,9.0643,209.94079875946045
48,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,9.05222,307.9407877922058
4,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for, ,9.05164,405.94076585769653
2,cores,master,dynamic, , ,#pragma omp for nowait, ,9.04891,503.9399936199188
4,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.05662,601.9393901824951
32,threads,close,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.0581,700.1464927196503
8,cores,spread,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,9.06945,798.063725233078
192,sockets,spread,static, ,#pragma unroll (6),#pragma omp for, ,9.04475,895.9393665790558
4,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.06083,994.0216596126556
2,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.0829,1091.9466576576233
128,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.07346,1189.939607143402
32,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.05799,1288.3113555908203
2,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,9.05945,1386.3517789840698
8,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.07206,1484.3522536754608
16,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.07385,1582.0634512901306
192,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.05225,1680.187671661377
64,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,9.07994,1778.3099160194397
256,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,9.07261,1876.3925335407257
48,threads,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.04878,1974.2690649032593
96,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.04826,2072.393585205078
256,sockets,spread,static, ,#pragma unroll,#pragma omp for nowait, ,9.08625,2171.940656900406
192,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,9.06639,2269.9396233558655
48,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.07823,2368.104641675949
2,sockets,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.08454,2467.94060587883
256,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.07582,2565.940071582794
64,sockets,spread,static, ,#pragma unroll (6),#pragma omp for, ,9.06756,2663.9399993419647
64,threads,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.06986,2761.9393985271454
64,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,9.07862,2860.146496772766
64,sockets,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,9.07136,2959.9406049251556
