p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
64,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait, ,16.1938,139.49823188781738
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,1,205.4983832836151
48,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,16.2149,325.49846959114075
4,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for, ,16.2162,443.90984630584717
2,cores,master,dynamic, , ,#pragma omp for nowait, ,16.2446,563.4983656406403
4,sockets,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.2293,683.4977695941925
16,threads,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.2273,803.4984571933746
96,sockets,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.2144,923.4985642433167
8,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,16.2236,1043.4983842372894
16,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2515,1163.4986951351166
4,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,16.2085,1283.4983620643616
96,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2269,1403.4985842704773
96,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2363,1523.497123003006
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,1,1627.49849152565
256,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.266,1747.4984993934631
48,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.2091,1867.4971375465393
256,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.2397,1987.5050570964813
96,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.2025,2107.498549938202
4,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.2289,2227.497504711151
8,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2353,2347.497935295105
64,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.2791,2467.4982073307037
128,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2412,2587.4987053871155
128,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.242,2707.498111963272
256,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2345,2827.498624563217
8,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,16.2597,2947.4985501766205
48,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.2463,3071.497512817383
64,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.231,3191.9092473983765
8,cores,master,static,#pragma omp parallel for, ,#pragma omp for, ,16.2412,3311.4975123405457
2,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,16.232,3431.498560667038
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,16.2213,3551.4986860752106
