p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
4,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.5963,291.49323320388794
8,threads,master,dynamic, , ,#pragma omp for nowait, ,12.5525,499.40965270996094
192,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,12.6303,707.4100208282471
16,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,12.5962,979.4097363948822
2,threads,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,12.5954,1253.4084713459015
192,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5894,1527.4085388183594
32,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.576,1737.409883737564
256,threads,close,dynamic, , ,#pragma omp for, ,12.5985,1947.4098255634308
64,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.5762,2157.4099175930023
64,threads,master,dynamic, , ,#pragma omp for nowait, ,12.5874,2365.4089522361755
128,threads,master,dynamic, , ,#pragma omp for, ,12.5882,2573.7804596424103
4,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5739,2781.956362247467
16,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6151,2991.5091938972473
256,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6058,3201.5095217227936
128,threads,master,static, , ,#pragma omp for nowait, ,12.5746,3411.510579109192
4,threads,master,static, , ,#pragma omp for nowait, ,12.5768,3619.8803236484528
96,threads,master,static, , ,#pragma omp for nowait, ,12.6098,3829.5088171958923
32,threads,master,dynamic, , ,#pragma omp for nowait, ,12.5912,4037.755980491638
64,threads,master,dynamic, , ,#pragma omp for, ,12.6072,4247.510060071945
192,threads,master,dynamic, , ,#pragma omp for nowait, ,12.6113,4457.509826421738
2,threads,master,dynamic, , ,#pragma omp for nowait, ,12.5826,4665.806174278259
192,cores,master,dynamic, , ,#pragma omp for nowait, ,12.5735,4875.513745307922
192,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.6205,5149.510114908218
192,sockets,master,dynamic, , ,#pragma omp for nowait, ,12.5819,5359.509838104248
128,threads,master,dynamic, , ,#pragma omp for nowait, ,12.5946,5569.509857416153
16,threads,master,dynamic, , ,#pragma omp for nowait, ,12.5886,5779.508626699448
192,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6032,5989.510079622269
48,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5909,6197.88055896759
8,threads,master,static, , ,#pragma omp for nowait, ,12.584,6407.510006904602
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6299,6617.508749008179
4,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.5774,6891.509874343872
4,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,12.595,7165.510148763657
192,cores,close,static, , ,#pragma omp for nowait, ,12.565,7375.510066986084
192,cores,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5892,7585.509751319885
192,cores,spread,static, , ,#pragma omp for nowait, ,12.5775,7795.510203361511
192,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6015,8005.509419441223
192,cores,spread,dynamic, , ,#pragma omp for nowait, ,12.5759,8214.045140981674
192,cores,master,static, , ,#pragma omp for nowait, ,12.6148,8425.615625619888
192,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,12.5893,8699.615594625473
192,threads,close,dynamic, , ,#pragma omp for nowait, ,12.5767,8909.616525888443
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,12.5814,9119.616473436356
192,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6086,9329.615932703018
192,threads,close,static, , ,#pragma omp for nowait, ,12.5846,9539.616448402405
48,threads,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5863,9749.615837574005
192,threads,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5886,9959.616483449936
192,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.6161,10233.615038394928
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6236,10441.987037420273
192,cores,close,dynamic, , ,#pragma omp for nowait, ,12.6256,10651.616437673569
192,cores,spread,dynamic, , ,#pragma omp for, ,12.5749,10861.616569519043
64,cores,close,dynamic, , ,#pragma omp for nowait, ,12.5681,11071.61610198021
48,cores,close,dynamic, , ,#pragma omp for nowait, ,12.6137,11281.615104913712
64,cores,close,static, , ,#pragma omp for nowait, ,12.6361,11491.616109371185
2,cores,close,dynamic, , ,#pragma omp for nowait, ,12.5592,11700.027104377747
32,cores,close,dynamic, , ,#pragma omp for nowait, ,12.588,11909.615978479385
