p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
4,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,3.87145,259.7534935474396
8,threads,master,dynamic, , ,#pragma omp for nowait, ,3.8796,435.6745798587799
192,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.94082,611.6688623428345
16,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,3.90715,851.6701872348785
2,threads,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.8722,1093.6687545776367
192,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.86874,1335.669354915619
32,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,3.86719,1513.6689777374268
192,threads,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.84027,1691.6700613498688
2,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.86757,1869.6700658798218
192,cores,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.85342,2047.6687049865723
192,threads,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.90415,2225.6699476242065
192,cores,master,static,#pragma omp parallel for, ,#pragma omp for, ,3.85915,2403.669196128845
192,threads,master,static, ,#pragma unroll (6),#pragma omp for, ,3.87455,2645.712016105652
192,threads,master,static, , ,#pragma omp for, ,3.88198,2823.7119352817535
48,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.88733,3000.2054789066315
192,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.87527,3177.8469982147217
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.8833,3355.7640392780304
192,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.89086,3597.764557123184
192,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.9139,3775.7647273540497
192,threads,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.90432,3953.7638754844666
64,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.8741,4131.764765024185
192,cores,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.91304,4309.764589309692
192,sockets,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.87404,4486.298642873764
192,threads,master,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.89086,4728.319014310837
192,sockets,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.90736,4906.063669919968
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.83058,5083.898903131485
32,cores,master,dynamic, , ,#pragma omp for, ,3.85978,5261.899170875549
96,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.8602,5439.89798283577
192,cores,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,3.86923,5682.104194879532
192,cores,master,dynamic, , ,#pragma omp for nowait, ,3.86667,5859.898662567139
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for, ,3.87756,6037.898610591888
192,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.90792,6279.899215459824
192,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.89738,6457.898290872574
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.87546,6635.899312257767
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.92786,6813.89931845665
192,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,3.83406,6991.899223804474
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,3.91612,7169.8992710113525
128,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.87453,7347.898679494858
192,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.92097,7525.89781999588
192,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,3.88888,7768.0227127075195
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.84657,7945.898823738098
192,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,3.88816,8123.89827132225
192,cores,master,dynamic, , ,#pragma omp for, ,3.91212,8301.899092435837
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,3.86447,8479.898696184158
192,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.84326,8721.899172067642
192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.84226,8964.02220416069
192,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,3.86841,9206.228822946548
192,cores,spread,dynamic, , ,#pragma omp for, ,3.86963,9383.899157762527
192,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.93171,9627.86582326889
192,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.85755,9869.898287057877
192,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.88527,10111.897893428802
