p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
48,80, , ,256,96,sockets,none,0.8503700000000001,0.22050753201046047,33.74061989784241
48,64, , ,64,128,sockets,scatter,0.857255,0.23208718143245527,65.19662165641785
48,64, , ,96,2,sockets,explicit,0.864555,0.24296425653455933,96.28009295463562
48,128, ,#pragma omp parallel for,64,8,sockets,explicit,0.86451,0.28093436682599915,128.00063490867615
48,64, , ,64,64,cores,explicit,0.8493550000000001,0.309551007870842,159.32450199127197
48,40, , ,96,96,sockets,none,0.857205,0.324809110123481,190.86441254615784
48,20, , ,32,8,sockets,disabled,0.868865,0.34199325452110296,224.97266960144043
48,128,#pragma clang loop unrolling full, ,32,8,cores,compact,0.854595,0.351579171871446,256.3964624404907
48,128,#pragma clang loop unrolling full, ,128,2,sockets,none,0.86412,0.355891223183323,287.99254059791565
32,20, , ,4,128,cores,explicit,0.849985,0.36542445571775195,319.3808732032776
48,128,#pragma clang loop unrolling full, ,2,64,sockets,none,0.86129,0.381763731919332,350.8168978691101
48,100, , ,16,8,threads,compact,0.8667149999999999,0.4115888055705788,382.1525647640228
48,64,#pragma clang loop unrolling full, ,16,8,cores,balanced,0.852305,0.4373728112553749,413.513130903244
48,200, , ,8,8,sockets,scatter,0.85701,0.45499387088402204,444.4923765659332
48,128,#pragma clang loop unrolling full, ,96,2,cores,none,0.85595,0.4556702659709869,475.70065808296204
48,100, , ,256,2,threads,explicit,0.865585,0.46759134177104505,506.4764769077301
48,64,#pragma clang loop unrolling full, ,2,8,threads,none,0.85719,0.4853472596271244,537.6527812480927
48,100, , ,64,8,cores,balanced,0.84876,0.4877689166738073,568.9960172176361
32,100,#pragma clang loop unrolling full, ,64,128,sockets,balanced,0.842075,0.4994911412308309,599.8838288784027
48,20, , ,64,2,sockets,none,0.8638399999999999,0.5107407217689769,631.384298324585
32,200,#pragma clang loop unrolling full, ,16,8,cores,balanced,0.844345,0.5151444312725094,662.8320651054382
32,10, , ,16,2,threads,none,0.8429249999999999,0.5180920758876295,694.1405253410339
32,40, , ,96,8,cores,explicit,0.844515,0.5223334284595796,725.3002054691315
48,64, ,#pragma omp parallel for,96,8,threads,explicit,0.863605,0.5240354691661049,756.5281324386597
48,20,#pragma clang loop unrolling full, ,16,8,sockets,none,0.857005,0.532808684753131,787.7365610599518
48,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,none,0.86151,0.5345613923609109,818.7845287322998
48,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,cores,explicit,0.86422,0.5884655860561614,849.640474319458
48,128,#pragma clang loop unrolling full, ,32,2,sockets,none,0.866965,0.6183218683427907,880.9685983657837
48,20, ,#pragma omp parallel for,96,96,cores,balanced,0.8653500000000001,0.6227575329099093,911.1527116298676
32,128,#pragma clang loop unrolling full, ,16,2,cores,explicit,0.84067,0.6365037197384283,942.3204550743103
