p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
32,160, , ,256,96,sockets,none,0.16929,0.037597204531229236,28.062378883361816
32,128, , ,64,128,sockets,scatter,0.168105,0.03867018099730926,53.22250056266785
32,64, , ,96,96,sockets,explicit,0.167995,0.03973257344794405,78.23829221725464
32,128, ,#pragma omp parallel for,64,8,sockets,explicit,0.16923,0.0438665581466801,103.03149485588074
32,64, , ,64,128,cores,explicit,0.16834500000000002,0.04743455790581845,127.89007115364075
48,100, , ,96,96,sockets,none,0.18288,0.049440262372262185,152.69040417671204
32,80, ,#pragma omp parallel for,32,8,threads,balanced,0.17056,0.05171683180481619,177.24264860153198
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,cores,disabled,0.16996,0.05299227474824153,203.1469030380249
32,128,#pragma clang loop unrolling full, ,8,2,sockets,none,0.169905,0.053566893856371256,228.32241368293762
16,20, , ,128,8,cores,explicit,0.17333500000000002,0.05483864164595601,253.01461148262024
32,128,#pragma clang loop unrolling full, ,2,128,sockets,none,0.16861500000000001,0.0570205195010715,278.7751612663269
48,64, , ,16,2,threads,disabled,0.177745,0.06099940246999377,303.9544086456299
32,64,#pragma clang loop unrolling full, ,16,8,cores,none,0.16909000000000002,0.06442346039385524,328.59422540664673
48,40, ,#pragma omp parallel for,16,8,sockets,scatter,0.18133,0.0667501962790048,353.08215069770813
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,cores,none,0.169995,0.06683925581675448,377.2024462223053
48,64, , ,256,2,threads,explicit,0.18206499999999998,0.06840553147462161,402.11027932167053
32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,threads,none,0.170165,0.07072585901696835,426.55034732818604
32,64, , ,64,2,cores,balanced,0.16865000000000002,0.07104108005840806,451.39050912857056
32,100,#pragma clang loop unrolling full, ,64,8,sockets,balanced,0.16762,0.0725625132930788,476.33834433555603
48,80, , ,64,2,sockets,none,0.18421500000000002,0.07401548016047163,501.1623833179474
16,40,#pragma clang loop unrolling full, ,16,8,cores,balanced,0.17185,0.07458229135350433,525.9424817562103
32,200, , ,16,2,threads,none,0.168925,0.07496106112691461,550.9786167144775
16,100, , ,96,8,cores,explicit,0.17273,0.0755051779061232,575.730357170105
32,64, ,#pragma omp parallel for,96,8,threads,explicit,0.169335,0.0757232314599939,599.8863413333893
32,20,#pragma clang loop unrolling full, ,16,8,sockets,none,0.16843000000000002,0.07684444795372206,624.8628675937653
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,cores,none,0.16934,0.0770678873661218,649.086229801178
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,explicit,0.170455,0.0838457162857048,673.2267210483551
32,20,#pragma clang loop unrolling full, ,32,2,sockets,explicit,0.16854000000000002,0.0875187707703853,698.4066977500916
32,20, ,#pragma omp parallel for,96,96,cores,balanced,0.171685,0.08805943015009515,722.3827214241028
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,explicit,0.169815,0.08972661911299275,746.4912056922913
