p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
32,20, ,#pragma omp parallel for,256,2,sockets,none,3.4009150000000004,39995.21720970255,54.93647813796997
32,100, ,#pragma omp parallel for,16,256,sockets,explicit,3.47398,48665.74564613729,108.7038631439209
16,40, ,#pragma omp parallel for,64,2,sockets,none,3.43792,58220.6769893102,163.14067578315735
32,64, , ,64,128,cores,none,3.38851,105438.62366474025,217.66044092178345
32,40, ,#pragma omp parallel for,64,32,cores,none,3.37233,160670.27563134045,271.5406448841095
32,10, ,#pragma omp parallel for,96,2,cores,balanced,3.40539,198399.62617971262,325.5931718349457
16,20, , ,2,64,sockets,scatter,3.4301899999999996,247652.1907111023,380.5965189933777
32,64,#pragma clang loop unrolling full, ,2,128,cores,scatter,3.454345,278441.8199999082,434.732807636261
32,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,none,3.3868,293101.00004588196,488.4039933681488
16,128, ,#pragma omp parallel for,32,64,cores,none,3.46008,327349.5585824745,542.3841187953949
32,64, ,#pragma omp parallel for,256,4,sockets,balanced,3.40967,392177.80967062037,596.1145133972168
32,200, ,#pragma omp parallel for,128,8,threads,scatter,3.3872,531888.2042971925,650.5998201370239
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,cores,balanced,3.397785,676811.7391291753,704.8403606414795
32,80, , ,4,128,sockets,explicit,3.45665,789742.3800928711,759.2720968723297
32,100,#pragma clang loop unrolling full, ,64,8,cores,balanced,3.42951,794311.7602110608,813.9085416793823
32,200, ,#pragma omp parallel for,96,8,threads,none,3.4071,877769.8407586372,867.9284799098969
32,100, , ,256,128,threads,balanced,3.45406,1012622.6782873843,922.5084567070007
32,200, ,#pragma omp parallel for,64,128,cores,compact,3.38706,1032020.024470904,975.6479737758636
16,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,cores,compact,4.156175,1129417.4267436666,1036.028107881546
48,20, ,#pragma omp parallel for,64,8,sockets,none,3.51872,1228460.9367738538,1090.0322070121765
64,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,cores,balanced,3.603285,1268751.073494437,1146.048151254654
16,20, ,#pragma omp parallel for,8,8,sockets,none,3.8686100000000003,1296203.871130967,1201.9125242233276
48,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,none,3.43948,1336393.2002073633,1256.7206392288208
32,100, , ,96,128,threads,none,3.37337,1352750.702586731,1310.8840589523315
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,sockets,balanced,3.38679,1439175.2342436363,1364.488000869751
32,100,#pragma clang loop unrolling full, ,16,96,cores,balanced,3.36984,1456868.3274541711,1418.7599878311157
32,100,#pragma clang loop unrolling full, ,64,32,cores,none,3.362515,2073729.4893062238,1472.4965090751648
16,64, ,#pragma omp parallel for,2,8,sockets,none,3.461545,2479529.9255344,1526.2321033477783
32,128, , ,96,96,cores,balanced,3.378485,2543937.550293642,1580.4203066825867
16,64,#pragma clang loop unrolling full, ,16,8,threads,none,3.422925,2750497.672198316,1635.0320398807526
