p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
192,100, , ,64,16,cores,none,1.680475,20.727606773376465
48,80, , ,32,8,sockets,balanced,1.646605,41.35253667831421
2,20, ,#pragma omp parallel for,16,96,sockets,scatter,9.195935,84.8998510837555
16,20,#pragma clang loop unrolling full, ,256,128,threads,compact,1.89137,106.42366147041321
4,64,#pragma clang loop unrolling full, ,96,96,sockets,balanced,4.434049999999999,135.81298899650574
64,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,sockets,none,1.66182,157.21949791908264
48,40, ,#pragma omp parallel for,64,64,cores,scatter,1.6576300000000002,177.95566391944885
96,128,#pragma clang loop unrolling full, ,2,2,threads,none,1.67144,198.89875984191895
256,128, ,#pragma omp parallel for,128,8,cores,disabled,1.68492,220.68734550476074
48,64, , ,96,128,cores,balanced,1.65454,241.42437767982483
2,40, , ,4,96,cores,balanced,8.591785,282.8317401409149
64,64, ,#pragma omp parallel for,4,4,sockets,disabled,1.6574149999999999,303.9011206626892
256,128, ,#pragma omp parallel for,64,4,cores,none,1.68222,325.1922333240509
96,40,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,threads,none,1.6783700000000001,346.05073070526123
8,20, , ,96,128,cores,balanced,2.39161,368.99680757522583
256,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,disabled,1.6825700000000001,394.88122034072876
128,100, ,#pragma omp parallel for,256,128,sockets,none,1.68327,420.0834300518036
192,160,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,sockets,explicit,1.684315,441.5769953727722
64,200, ,#pragma omp parallel for,128,256,cores,compact,1.666075,462.3880789279938
128,160, ,#pragma omp parallel for,8,96,threads,compact,1.6878000000000002,483.3743221759796
256,128, ,#pragma omp parallel for,32,16,cores,disabled,1.694235,509.0386276245117
256,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,sockets,balanced,1.6920549999999999,531.8002626895905
96,64, , ,16,2,cores,disabled,1.688225,553.9236736297607
192,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,threads,none,1.7043300000000001,576.5542900562286
2,40, ,#pragma omp parallel for,16,256,cores,disabled,9.042945,621.080867767334
64,20, , ,4,256,cores,explicit,1.66886,643.5650210380554
192,100, , ,96,4,threads,disabled,1.6786400000000001,664.6978018283844
48,100, , ,8,4,threads,balanced,1.6561,685.4938054084778
48,100, ,#pragma omp parallel for,16,16,cores,balanced,1.66595,706.1567418575287
96,20,#pragma clang loop unrolling full, ,32,4,cores,scatter,1.6795499999999999,727.1444544792175
192,160,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,cores,explicit,1.69141,748.4291155338287
4,40,#pragma clang loop unrolling full, ,128,32,threads,compact,5.4522200000000005,780.8086776733398
256,64,#pragma clang loop unrolling full, ,96,4,threads,explicit,1.67752,801.6915814876556
8,40, ,#pragma omp parallel for,128,8,cores,explicit,2.404455,824.4885609149933
96,64, ,#pragma omp parallel for,96,256,threads,balanced,1.668765,845.3576219081879
64,128,#pragma clang loop unrolling full, ,32,64,sockets,scatter,1.6583999999999999,866.2310802936554
96,64, ,#pragma omp parallel for,256,128,cores,none,1.67379,887.4626004695892
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,threads,explicit,1.6596199999999999,908.7207033634186
32,80,#pragma clang loop unrolling full, ,4,2,threads,none,1.635545,929.4047904014587
96,160, ,#pragma omp parallel for,16,32,threads,balanced,1.669035,950.1927952766418
4,160, ,#pragma omp parallel for,2,128,threads,balanced,4.48091,979.4640040397644
64,80, ,#pragma omp parallel for,16,64,cores,scatter,1.673295,1000.2144808769226
64,100,#pragma clang loop unrolling full, ,256,128,cores,explicit,1.66448,1020.8537788391113
4,10,#pragma clang loop unrolling full, ,64,8,threads,compact,5.585335000000001,1053.3853180408478
16,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,cores,explicit,1.679135,1073.944665670395
16,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,threads,compact,1.942185,1095.7854390144348
4,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,threads,balanced,4.550485,1125.1798629760742
128,40,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,sockets,balanced,1.667265,1146.1940472126007
192,80, , ,64,64,threads,scatter,1.668965,1167.117131471634
16,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,cores,compact,1.9201700000000002,1188.9606275558472
32,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,sockets,balanced,1.649335,1209.558486700058
128,100, , ,96,64,threads,explicit,1.67352,1230.254723072052
192,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,sockets,balanced,1.68302,1251.474436044693
96,128, ,#pragma omp parallel for,256,8,threads,balanced,1.676365,1272.5003190040588
8,128, ,#pragma omp parallel for,16,96,threads,scatter,2.4117249999999997,1295.27658867836
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,sockets,explicit,4.437295000000001,1324.41455245018
128,200,#pragma clang loop unrolling full, ,64,96,sockets,explicit,1.67391,1345.2439725399017
256,100, ,#pragma omp parallel for,2,32,sockets,compact,1.67847,1366.398997783661
128,20,#pragma clang loop unrolling full, ,2,4,sockets,balanced,1.66345,1387.1752998828888
64,200,#pragma clang loop unrolling full, ,16,32,cores,disabled,1.663215,1408.0358211994171
192,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,1.682575,1429.0956313610077
64,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,threads,scatter,1.65801,1450.3628978729248
8,128, ,#pragma omp parallel for,96,128,threads,none,2.3792850000000003,1473.0735666751862
48,64, ,#pragma omp parallel for,16,64,threads,compact,1.65557,1493.7177815437317
96,10, , ,16,256,threads,balanced,1.667265,1514.3676238059998
64,160, ,#pragma omp parallel for,256,2,threads,compact,1.664495,1535.1316800117493
4,200,#pragma clang loop unrolling full, ,128,256,sockets,disabled,4.40163,1564.0159847736359
128,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,none,1.6783549999999998,1584.7880053520203
32,20, , ,256,2,threads,balanced,1.638095,1605.3932802677155
4,64,#pragma clang loop unrolling full, ,32,8,sockets,disabled,4.3577,1634.2084085941315
