p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
 , , ,100,32,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,1.775056,17.785892248153687
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4684825,82.8621883392334
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.5580419999999999,120.16243362426758
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.42216,173.33455538749695
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.3995189999999999,246.96604895591736
 , , ,4,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.402522,300.57822918891907
 , , ,50,128,4, , , , ,490,545,600,655,710,0.4058819999999999,388.44999146461487
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,2.113354,436.57406067848206
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.424505,472.1825506687164
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4, , , , ,490,545,600,655,710,0.4891855,505.8464207649231
 , , ,96,32,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.479703,546.6894721984863
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,128,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4689805,583.3062024116516
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,64,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.424728,630.7743532657623
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.403994,669.1701860427856
 , , ,8,2048,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.486975,706.005868434906
