p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , ,64,16,4,0.20678649999999998,0.007676324079108905,9.270456314086914
 , ,100,64,4,0.219526,0.011079799660489234,19.565866231918335
 , ,64,80,4,0.21189,0.011571377458641459,29.60155415534973
 , ,64,100,4,0.209698,0.013394935993870986,39.877400636672974
 , ,128,64,4,0.20311400000000002,0.01571785906028285,49.05498695373535
 , ,16,16,4,0.21458850000000002,0.015919991227926648,58.89543008804321
 , ,16,128,4,0.2152505,0.015921610798734005,69.7125096321106
 , ,32,2048,4,0.16623749999999998,0.016898269026981685,78.13473463058472
 , ,32,64,4,0.208739,0.018228536038671958,87.67750859260559
 , ,16,64,4,0.217452,0.018488759245594472,98.53723168373108
 , ,16,100,4,0.20934049999999998,0.018795138017845284,107.76438736915588
 , ,16,50,4,0.21416249999999998,0.019045797046572846,117.09610342979431
 , ,64,64,4,0.204129,0.019433297422769343,128.12846899032593
 , ,64,128,4,0.214839,0.01956078558101172,139.7234592437744
 , ,32,16,4,0.2044985,0.020190770028395002,149.35072946548462
 , ,80,2048,4,0.159501,0.02035635584010867,157.82312679290771
 , ,32,100,4,0.2094165,0.021536922826888155,169.0131003856659
 , ,20,32,4,0.220808,0.02235003718663639,179.78698992729187
 , ,20,16,4,0.217103,0.024117056393692753,191.2460012435913
 , ,128,128,4,0.19874150000000002,0.025639727548290223,200.31954169273376
 , ,100,80,4,0.21573799999999999,0.0264909663583528,209.61485242843628
 , ,128,2048,4,0.1669315,0.027141812225081354,219.10794019699097
 , ,20,128,4,0.21218700000000001,0.02828617673469237,228.4747598171234
 , ,32,20,4,0.2114955,0.028407849937092233,237.92719292640686
 , ,50,64,4,0.2189585,0.029934353256099066,248.43160200119019
 , ,4,20,4,0.19701849999999999,0.031140622564554122,260.23565459251404
 , ,4,32,4,0.207395,0.03118212484457078,273.0265266895294
 , ,100,128,4,0.2143085,0.031563493215308054,282.3707456588745
 , ,16,80,4,0.212988,0.032402213101951155,291.5754187107086
 , ,32,80,4,0.21065099999999998,0.032766736969428056,302.4722900390625
