p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , ,80,100,4,0.000395,6.443343246451297e-05,10.326356172561646
 , ,64,64,4,0.000398,6.684822869455016e-05,18.93427538871765
 , ,20,128,4,0.000387,6.965897364011878e-05,27.39421582221985
 , ,100,16,4,0.00044249999999999997,7.661211446207813e-05,37.53825926780701
 , ,96,100,4,0.0003905,7.701691937773689e-05,46.26610541343689
 , ,96,128,4,0.000392,7.776136631252796e-05,54.80744242668152
 , ,32,100,4,0.00039150000000000003,8.041860481967843e-05,64.2985417842865
 , ,100,2048,4,0.00038449999999999997,8.720806652462408e-05,73.29406523704529
 , ,16,32,4,0.000384,9.096316233109707e-05,81.62326312065125
 , ,100,128,4,0.00039250000000000005,0.00010648402404045697,90.86725354194641
 , ,80,32,4,0.000396,0.00010695399349837598,99.46673965454102
 , ,32,2048,4,0.0003715,0.00011473776064871544,108.21015858650208
 , ,128,64,4,0.000398,0.000116561554594197,116.79797339439392
 , ,80,64,4,0.000399,0.00011890347358121939,125.96760988235474
 , ,128,128,4,0.0003925,0.00014295072297236603,134.5502598285675
 , ,128,16,4,0.00045450000000000004,0.00014377672341464213,143.1918294429779
 , ,50,80,4,0.000429,0.0001527890746667661,151.63465666770935
 , ,4,128,4,0.00039749999999999996,0.00016365226005609783,162.7341673374176
 , ,80,80,4,0.0003895,0.00018881046352485335,172.59485125541687
 , ,100,50,4,0.0004135,0.00020170797293758572,182.21240162849426
 , ,20,100,4,0.000384,0.00021406824822480986,190.61073279380798
 , ,100,20,4,0.00041,0.00022645747839362707,200.3279767036438
 , ,32,4,4,0.004761,0.00023741215751880195,209.0598874092102
 , ,16,128,4,0.00038449999999999997,0.00024167983079862997,217.25036215782166
 , ,16,20,4,0.0003995,0.00024259647453909607,225.6346275806427
 , ,20,20,4,0.00039349999999999997,0.0002668214548924785,236.53903007507324
 , ,50,100,4,0.00041700000000000005,0.000269276981276302,246.38374257087708
 , ,64,100,4,0.000393,0.0002759857045367332,254.74269843101501
 , ,80,20,4,0.00041200000000000004,0.00028158036627165105,263.4219946861267
 , ,64,80,4,0.0003955,0.0002918803480384057,273.73044180870056
