p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , ,64,32,4,1.6038549999999998,0.1371526663010935,24.19863200187683
 , ,100,80,4,1.5981935,0.14092476475113375,47.75155782699585
 , ,64,100,4,1.584681,0.14134891188003348,70.1639506816864
 , ,64,2048,4,1.620031,0.14274223016972956,92.94334673881531
 , ,32,16,4,1.7452945,0.1437901939129449,116.89123272895813
 , ,20,100,4,1.6456215,0.14407739265097003,140.00654864311218
 , ,32,80,4,1.675662,0.14419801336730503,162.90294003486633
 , ,128,4,4,21.2543195,0.1443121229232652,361.73482942581177
 , ,50,2048,4,1.6236350000000002,0.14483334982785923,384.8705885410309
 , ,128,50,4,1.8459045,0.14494617103870902,409.84398651123047
 , ,50,80,4,1.5840494999999999,0.1454817808149444,432.4120213985443
 , ,16,80,4,1.7006525,0.1456011810885932,457.1904456615448
 , ,16,2048,4,1.7108705,0.1457388689678849,480.9151270389557
 , ,128,20,4,1.6898245,0.14584926461734612,504.3387668132782
 , ,20,80,4,1.634675,0.1460160830250954,527.4148092269897
 , ,20,128,4,1.659275,0.146069974968386,551.7441065311432
 , ,32,20,4,1.6792440000000002,0.14632937741830185,575.974695444107
 , ,64,128,4,1.5792395,0.1463957164347897,599.0269560813904
 , ,8,128,4,1.9260454999999999,0.14678721235512948,624.7507138252258
 , ,32,2048,4,1.6428500000000001,0.14681680071360173,647.9268045425415
 , ,20,64,4,1.6470485,0.14713986576199403,672.3292570114136
 , ,16,32,4,1.715698,0.14772552075030035,696.4349372386932
 , ,128,128,4,1.6739535,0.14818319532630841,719.0186250209808
 , ,100,100,4,1.606001,0.1484223340621032,741.9682817459106
 , ,32,128,4,1.6125565000000002,0.1485977652941462,765.771835565567
 , ,16,128,4,1.6814525,0.14889174721205434,790.3716194629669
 , ,50,32,4,1.585816,0.14892197424882397,813.2791724205017
 , ,4,128,4,2.3414705,0.14892256763470213,845.1561062335968
 , ,100,16,4,1.745366,0.1495353530098776,869.1544394493103
 , ,100,64,4,1.6155765,0.14956276479965813,892.0390846729279
