p1,p2,p3,p4,p5,exe_time,elapsed_sec
 , ,16,2048,4,0.000372,10.28356075
 , ,80,100,4,0.0004095,17.71917295
 , ,20,80,4,0.000392,24.60274005
 , ,20,80,4,0.000405,31.45084214
 , ,64,2048,4,0.000376,38.00297594
 , ,16,128,4,0.00039,46.95077109
 , ,16,100,4,0.0003925,54.30278945
 , ,20,32,4,0.0004105,61.37472177
 , ,50,2048,4,0.0003765,68.01479268
 , ,20,100,4,0.000408,74.87479138
 , ,8,32,4,0.0004125,83.64253402
 , ,128,80,4,0.0003985,90.93497634
 , ,80,80,4,0.000384,98.21147513
 , ,20,32,4,0.000402,105.3587406
 , ,50,100,4,0.000396,112.4583845
 , ,20,100,4,0.000386,121.4947207
 , ,20,20,4,0.0003985,128.5789223
 , ,128,80,4,0.000413,135.7629533
 , ,64,100,4,0.000397,142.8270962
 , ,50,100,4,0.0003945,149.9397616
 , ,20,2048,4,0.00037,158.7746682
 , ,32,128,4,0.0004105,165.638505
 , ,100,2048,4,0.000389,173.2187276
 , ,50,50,4,0.0004215,180.2025595
 , ,100,80,4,0.000394,187.3227017
 , ,50,80,4,0.000398,196.5028327
 , ,128,20,4,0.000399,203.6066782
 , ,20,80,4,0.0003905,210.5702517
 , ,80,32,4,0.0003935,217.750922
 , ,16,80,4,0.0003855,222.9768147
