p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,2.9302795,17.43098258972168
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,3.6752219999999998,36.40618395805359
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,3.4754329999999998,53.90583109855652
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,2.765365,69.2431948184967
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,80,8,0.44036549999999997,80.57169318199158
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.41403100000000004,88.71052384376526
 , ,4,16,50,2.928808,105.43367123603821
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,0.6161859999999999,116.45975661277771
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,4,80,4.020752,136.75342750549316
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,80,80,3.7968355000000003,155.8738133907318
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,2.8439355,171.47390055656433
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,64,80,3.743079,190.26586365699768
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,2.9714485,206.17895531654358
 , ,96,64,32,2.1945455000000003,219.842759847641
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,2.8279085000000004,235.28257656097412
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,16,8,0.5604765,246.86746978759766
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,80,3.9773155,265.56986379623413
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,1.6680875,278.13345670700073
 , ,50,50,32,2.202247,291.6338164806366
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,0.404223,300.54170846939087
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,8,0.45353,309.831378698349
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,80,3.325508,327.82586765289307
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,1.7158600000000002,340.05848002433777
 , ,50,20,50,2.855941,355.6195559501648
