p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,0.0201205,7.411922454833984
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,0.027171,15.627811670303345
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,0.0255505,23.240974187850952
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,0.0199855,30.697340488433838
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,80,8,0.012341,38.648881912231445
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.002991,46.02740955352783
 , ,4,16,50,0.020507,54.62124228477478
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,0.0046370000000000005,63.68446207046509
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,4,80,0.027918,71.76206469535828
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,80,80,0.0280415,79.79110503196716
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,0.0199505,87.27835726737976
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,64,80,0.026547,95.31201553344727
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,0.022103499999999998,102.66142272949219
 , ,96,64,32,0.016454499999999997,110.07180213928223
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,0.0199255,118.2093825340271
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,16,8,0.014396,126.07140803337097
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,80,0.026954,133.4129285812378
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,0.0120445,140.85095381736755
 , ,50,50,32,0.016412,148.30383825302124
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,0.0091475,155.79261112213135
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,8,0.0088595,163.21252059936523
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,80,0.0237635,171.55138540267944
