p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,17.671837,59.65072178840637
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,17.681955,117.87320876121521
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,17.661204499999997,176.18977665901184
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,17.679928500000003,234.3998739719391
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,8,17.720758,292.811350107193
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,17.7154615,350.99888277053833
 , ,4,16,50,17.729227,409.41079664230347
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,17.740629,467.73494505882263
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,4,80,17.740579500000003,525.9607055187225
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,80,80,17.688903,584.2348580360413
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,17.682284000000003,642.4851367473602
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,64,80,17.6908095,700.7984972000122
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,17.6975955,758.935560464859
 , ,96,64,32,17.704501999999998,817.3196597099304
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,17.730036,875.6778373718262
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,16,8,17.7008055,933.7242856025696
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,80,17.678618999999998,992.048924446106
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,17.6694035,1050.1495015621185
 , ,50,50,32,17.737158,1108.721720457077
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,17.7357305,1167.0571901798248
