p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,0.09101600000000001,6.5709874629974365
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,0.09101300000000001,11.642351865768433
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,0.09104799999999999,16.724912405014038
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,0.0909275,21.949406385421753
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,8,0.09157299999999999,27.021262407302856
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.091006,32.16844582557678
 , ,4,16,50,0.091039,37.43589949607849
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,0.0909045,42.68814158439636
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,4,80,0.0910695,47.78529620170593
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,80,80,0.09108350000000001,52.9393208026886
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,0.0910295,58.097731590270996
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,64,80,0.091082,63.41887402534485
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,0.0911295,68.51361966133118
 , ,96,64,32,0.0910965,73.77218508720398
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,0.09096599999999999,79.05420994758606
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,16,8,0.09102299999999999,84.26787900924683
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,80,0.090987,89.30432462692261
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,0.091043,94.37994170188904
 , ,50,50,32,0.091018,99.4705810546875
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,0.091116,104.5520510673523
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,8,0.0910125,109.82399153709412
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,80,0.090918,114.92884087562561
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,0.091119,120.01542067527771
 , ,50,20,50,0.091164,125.12477016448975
 , ,4,50,8,0.09114549999999999,130.19469141960144
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,64,256,0.0909855,135.34061908721924
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,4,256,0.157284,140.58847379684448
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,20,0.0910465,145.77925181388855
 , ,96,50,32,0.091062,150.90227675437927
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,0.0910575,155.99228382110596
 , ,128,100,80,0.0909475,161.16170620918274
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,20,0.09107499999999999,166.25704097747803
 , ,16,100,4,0.091061,171.36886835098267
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,16,0.091136,176.42982029914856
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,8,0.0909665,181.5815713405609
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,2048,50,0.0909755,186.69900012016296
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,80,0.09099399999999999,192.09635710716248
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,16,64,0.09098,197.32534885406494
 , ,32,100,128,0.0911845,202.47082328796387
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,16,8,0.0909605,207.55717945098877
 , ,4,50,128,0.092482,212.88125610351562
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,80,0.0912705,218.036607503891
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,100,8,0.09118100000000001,223.32063794136047
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,80,16,0.0910425,228.39344334602356
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,64,0.091029,233.7904748916626
 , ,8,64,32,0.091033,238.83949208259583
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,80,0.0910015,244.06336164474487
 , ,96,128,64,0.09101899999999999,249.14885568618774
 , ,100,4,4,0.0910325,254.32882618904114
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,16,50,0.0910045,259.4298493862152
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,0.091238,264.4588143825531
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,20,0.0958035,269.573778629303
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,128,0.0910165,274.67304253578186
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,16,0.0910135,279.9269006252289
 , ,64,64,20,0.09109400000000001,284.9839663505554
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.0910765,290.09538292884827
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,50,256,0.09119150000000001,295.184362411499
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,0.09090000000000001,300.24792551994324
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.091298,305.3394570350647
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,0.091031,310.4197781085968
 , ,16,16,32,0.09110199999999999,315.76917004585266
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,64,0.0910415,321.0125586986542
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,100,4,0.091062,326.10100626945496
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,256,0.090976,331.19213104248047
