p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,0.0044095,7.742494821548462
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,0.0044075,13.840543508529663
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,0.004386,19.034611463546753
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,0.004396499999999999,23.89999508857727
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,8,0.0043985,28.73566746711731
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.004595999999999999,33.624767780303955
 , ,4,16,50,0.004396000000000001,38.495118379592896
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,0.0043895,43.329108238220215
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,4,80,0.0044035,48.15964341163635
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,80,80,0.0043945,53.15535259246826
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,0.004399,58.187816858291626
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,64,80,0.004401,63.10819101333618
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,0.00439,67.92764401435852
 , ,96,64,32,0.0044025,73.00557947158813
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,0.004401,77.81994032859802
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,16,8,0.004441499999999999,82.72845411300659
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,80,0.0044005,87.64556455612183
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,0.0044005,92.4549913406372
 , ,50,50,32,0.0043945,97.28770017623901
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,0.004401,102.17595982551575
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,8,0.004403000000000001,107.01719284057617
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,80,0.004392,112.08764052391052
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,0.004399,116.94293260574341
 , ,50,20,50,0.0044015,122.24963545799255
 , ,4,50,8,0.0043935,127.06619763374329
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,64,256,0.00439,132.13598155975342
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,4,256,0.004403,136.9288465976715
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,20,0.0044434999999999995,141.93936562538147
 , ,96,50,32,0.004401,146.7712721824646
