p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,100,64,256,0.138241,0.11437987043455462,11.122733354568481
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,16,0.1959525,0.1501347948516503,23.410698652267456
 , , ,50,8,64,0.1761395,0.23496238558138788,35.7593731880188
 , , ,32,16,256,0.1411715,0.26674960112290536,48.326470136642456
 , , ,128,50,64,0.1890285,0.33163437259957557,61.31921458244324
 , , ,16,8,4,0.24098950000000002,0.3386271205882929,74.82633399963379
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,100,0.1373325,0.402515910203226,86.52998518943787
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,256,0.13879550000000002,0.46343410639405497,99.94514322280884
 , , ,8,128,64,0.17869600000000002,0.5105939388785788,112.6715087890625
 , , ,32,100,256,0.13893850000000002,0.5165654182732765,124.31797385215759
 , , ,4,32,64,0.1743185,0.5443270358723385,137.30431032180786
 , , ,128,64,16,0.251537,0.5450726453298185,151.8825888633728
 , , ,4,64,64,0.17680649999999998,0.5602757763463301,164.8529989719391
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,16,0.200192,0.6153439214151791,177.83517122268677
 , , ,4,100,256,0.138588,0.6302535910715651,188.85868525505066
 , , ,100,100,16,0.186859,0.6606087057544424,201.1593611240387
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,0.30144649999999995,0.6755804690640596,214.9465024471283
 , , ,50,128,64,0.184179,0.6772331097671739,227.26982426643372
 , , ,100,80,256,0.137017,0.6780537371000402,239.1188404560089
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,0.1464315,0.6794620337981758,251.2945384979248
 , , ,16,100,256,0.1375865,0.7034801347800933,263.4336347579956
 , , ,4,16,64,0.17609799999999998,0.7061043628883762,275.14207649230957
 , , ,128,128,64,0.188535,0.7153872336918013,290.57825922966003
 , , ,50,128,16,0.2476125,0.7224385000569439,303.3380904197693
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,256,0.14852500000000002,0.7256871182008272,315.1743984222412
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,0.202559,0.730041803244513,328.53049778938293
 , , ,8,2048,16,0.3325135,0.742777382036965,342.5113146305084
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,0.40693,0.7475686480968545,356.31036019325256
 , , ,20,100,256,0.13797399999999999,0.7708661284100088,369.33077597618103
 , , ,128,32,4,0.25038099999999996,0.7747684634067243,383.61775302886963
