p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,100,80,16,0.0018375000000000002,0.00029928927853800424,12.492835998535156
 , , ,96,100,4,0.0021505,0.0003537215974448013,23.865009784698486
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,8,0.001946,0.0005650324148216519,34.2965943813324
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,64,0.0018110000000000001,0.000679819765202192,44.34061145782471
 , , ,128,64,100,0.0015385,0.0009882964070821072,54.003955125808716
 , , ,50,8,32,0.001679,0.001028224621790991,64.4752938747406
 , , ,128,32,64,0.0016455,0.0010369499210116275,75.14299058914185
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.00163,0.0014632793084795011,87.820481300354
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,16,0.001956,0.002015431627024751,99.93982148170471
 , , ,50,16,20,0.0019060000000000001,0.0023633994302944368,110.32340955734253
 , , ,96,128,20,0.0018375,0.0025548269753472223,120.17626619338989
 , , ,128,32,16,0.0017675,0.0025607514683217173,131.04484248161316
 , , ,100,100,64,0.0017575,0.002631056589709285,141.61222577095032
 , , ,4,4,100,0.001692,0.003011151778634373,152.73302841186523
 , , ,4,80,4,0.002479,0.0030219674954297254,164.02417922019958
 , , ,4,80,20,0.002156,0.0032497931913845813,177.87967205047607
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,100,0.00187,0.0042017582987691655,187.70328736305237
 , , ,32,32,64,0.0015275,0.004484889745564878,197.46334385871887
 , , ,4,128,16,0.0020815,0.004497334303621623,210.30793499946594
 , , ,128,100,4,0.002334,0.005155308762331041,221.63670659065247
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,8,0.0021904999999999997,0.0055097199316648865,232.29503726959229
 , , ,32,16,8,0.001985,0.0055501227260249366,242.95549631118774
 , , ,128,8,64,0.0018135,0.005570281681698905,253.17987728118896
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,16,0.0019259999999999998,0.00560502724950294,264.18883633613586
 , , ,50,128,16,0.002001,0.0062278351795268545,275.0034906864166
 , , ,4,32,20,0.0021565,0.006299468747004382,287.8796696662903
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,20,0.0021025,0.006558793276674078,299.3076696395874
 , , ,50,16,4,0.0023115,0.006762106127953522,309.8018891811371
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,16,0.0019820000000000003,0.0068576605914580395,319.9593152999878
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,0.002376,0.006987649669642991,331.31949758529663
