p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,128,16,32,28.758692500000002,1.5515451211521722,271.762410402298
 , , ,4,20,256,14.593788,1.605725324343669,413.4853856563568
 , , ,8,32,80,28.7531955,1.6127093954447016,681.7916519641876
 , , ,128,50,8,41.6474925,1.6160864940920419,1068.8035650253296
 , , ,20,2048,32,31.43422,1.6162328515215754,1364.6315512657166
 , , ,4,80,256,14.5916385,1.6166985748145508,1506.2629942893982
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,256,17.028942,1.6174044336614102,1670.2538831233978
 , , ,32,4,20,31.3211465,1.6176178334006563,1964.4268400669098
 , , ,4,16,4,36.948687500000005,1.6178431727738238,2309.575575351715
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,31.94871,1.617874886520312,2609.926726102829
 , , ,100,128,32,43.8054395,1.618381602918821,3018.4058282375336
 , , ,8,100,80,29.572337500000003,1.6184996931815547,3296.770449399948
 , , ,32,64,256,14.766517,1.6191569188981125,3440.0867958068848
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,20,46.852971499999995,1.619215898916304,3876.2265672683716
 , , ,4,16,64,29.6622505,1.6197698883585339,4157.439384460449
 , , ,128,16,100,28.4737955,1.619823184984851,4423.874885797501
 , , ,100,16,256,14.7027,1.6199595343685116,4566.711523771286
 , , ,128,80,256,14.991425,1.6200531804036795,4712.47461605072
 , , ,4,4,32,30.649101,1.620699796066941,4998.754693508148
 , , ,128,8,128,22.0221095,1.620723575977403,5208.482846021652
 , , ,8,8,8,38.338941500000004,1.6207748313704977,5567.102412939072
 , , ,96,20,100,28.5922805,1.6207852036377832,5835.48322224617
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,128,28.447946,1.621576423242202,6103.4585547447205
 , , ,100,8,256,14.874551,1.62183895074052,6247.575013160706
 , , ,128,4,256,15.2055625,1.6220138610144779,6394.058348417282
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,4,42.646673,1.6224592260439812,6790.190374612808
 , , ,96,64,16,34.248025,1.6226085072560272,7110.176812887192
 , , ,16,128,256,14.61659,1.6226245901012528,7251.723194599152
 , , ,100,80,256,14.933549500000002,1.622647846162663,7397.519081115723
 , , ,16,64,20,33.2036765,1.6227027848371296,7706.886667966843
