p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,16,80,70,30,0.0025925,12.198934316635132
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,70,30,0.010364,52.07502055168152
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,256,70,30,0.001465,90.09050273895264
 , , ,128,4,256,70,30,0.001563,126.54731941223145
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,64,70,30,0.0014995,192.93041157722473
 , , ,8,100,256,70,30,0.0014175,243.2702648639679
 , , ,96,2048,256,70,30,0.001439,286.59145045280457
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,70,30,0.0015985,328.578590631485
 , , ,4,2048,256,70,30,0.001638,426.99937987327576
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,70,30,0.001508,488.55044198036194
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,70,30,0.001545,549.1269161701202
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,8,70,30,0.0020559999999999,590.1988704204559
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,80,256,70,30,0.0025,656.218968629837
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,70,30,0.001608,691.0145773887634
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,4,70,30,0.0023615,829.0555527210236
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,4,70,30,0.0023299999999999,865.1228795051575
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,16,70,30,0.0018215,908.5348289012908
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,256,70,30,0.001493,937.318383216858
 , , ,100,4,256,70,30,0.001509,1013.6386077404022
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,20,70,30,0.0018549999999999,1060.8154928684237
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,256,70,30,0.0015125,1134.33123087883
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,256,70,30,0.0015595,1169.5434937477112
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,70,30,0.0015999999999999,1217.232123374939
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,8,256,70,30,0.0038195,1307.7475326061249
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,256,70,30,0.0014234999999999,1454.6321523189545
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,70,30,0.002358,1512.7825825214386
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,20,70,30,0.0019229999999999,1546.2833733558657
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128,70,30,0.0014754999999999,1585.0021064281464
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,80,70,30,0.0014765,1622.2834782600405
 , , ,8,2048,4,70,30,0.002574,1656.8635442256927
