p0,p1,p2,p3,p4,p5,exe_time,elapsed_sec
 , , ,128,64,256,0.137405,11.076392650604248
 , , ,4,2048,16,0.237095,20.976152658462524
 , , ,128,128,4,0.321141,30.56420063972473
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,256,0.1479745,39.272393226623535
 , , ,4,16,16,0.2084925,49.200660943984985
 , , ,32,100,256,0.1390635,60.4163384437561
 , , ,128,4,256,0.1489345,69.32473278045654
 , , ,4,16,256,0.1407045,79.08046007156372
 , , ,100,100,256,0.139207,87.67222213745117
 , , ,4,16,256,0.14226,97.5649299621582
 , , ,4,16,256,0.1406175,109.12841272354126
 , , ,8,2048,16,0.202471,118.8523895740509
 , , ,4,8,256,0.14462049999999999,127.83303380012512
 , , ,32,16,256,0.14144,137.6523506641388
 , , ,4,128,16,0.23961149999999998,147.33628273010254
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,256,0.1476595,159.44841957092285
 , , ,100,128,256,0.1386725,167.99280190467834
 , , ,128,20,16,0.2105345,177.82052373886108
 , , ,128,128,256,0.1389495,186.63316226005554
 , , ,4,50,256,0.13861,195.72030472755432
 , , ,4,64,256,0.138996,206.66520595550537
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,256,0.13838,215.32433104515076
 , , ,20,8,256,0.14129150000000001,224.90052580833435
 , , ,128,128,256,0.1377725,233.60839939117432
 , , ,128,32,256,0.139326,242.6803867816925
 , , ,4,32,64,0.17403249999999998,254.73010349273682
 , , ,20,2048,16,0.2009145,264.50443267822266
 , , ,128,100,256,0.139075,273.08442735671997
 , , ,128,20,256,0.1395245,282.38829803466797
 , , ,100,32,32,0.2159755,291.6246271133423
