p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,2.2227905,18.010698556900024
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,1.6956475,32.92500424385071
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,32,5.2436015000000005,60.2924702167511
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,2.4972265,77.9224328994751
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,3.9889925,102.135089635849
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,80,2.732444,121.2644112110138
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,12.198965999999999,169.31421375274658
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,2.0884155,185.6585681438446
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,100,8,11.860479000000002,232.80498218536377
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,20,5.0084195000000005,258.85845494270325
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,2.666886,277.5593194961548
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,5.231142,304.1940472126007
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,2.089868,320.5937569141388
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,3.2161515,340.7152142524719
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,16,7.2037105,373.8663651943207
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,4.550312999999999,399.6798906326294
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,100,20,5.2932355,426.90350437164307
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,3.4343000000000004,448.2703504562378
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,4.2572405,472.00710558891296
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,10.747250000000001,515.3485960960388
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,4.023122,538.2800114154816
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,4.522039,563.22642827034
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,4,19.342292,632.7551853656769
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,20,256,2.716277,651.8200261592865
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,16,100,2.884136,670.9551756381989
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,128,2.0910555,687.311683177948
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,50,4,18.745979499999997,754.7587397098541
