p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.00567,9.649322509765625
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.0055725,19.005707502365112
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,32,0.0281335,30.76426601409912
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.009805000000000001,40.89213943481445
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.014304500000000001,51.68924951553345
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,80,0.0103025,62.43259310722351
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.045437,74.09849667549133
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.0095505,84.40188670158386
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,100,8,0.0411145,95.51225781440735
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,20,0.0187535,106.11702466011047
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.010873500000000001,116.63992595672607
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.019945499999999998,127.1198296546936
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.0102985,137.5735833644867
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.013403,147.82261657714844
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,16,0.0399415,159.8053641319275
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,0.026693500000000002,172.3931760787964
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,100,20,0.012716,182.54623293876648
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,0.018499500000000002,193.1251585483551
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.014297,203.67630410194397
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,0.0570055,215.5230131149292
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,0.014395499999999999,226.3673267364502
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,0.010242000000000001,236.58466243743896
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,4,0.1111115,248.60387754440308
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,20,256,0.014529,259.80611300468445
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,16,100,0.010161,270.42035007476807
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,128,0.0095545,280.9089288711548
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,50,4,0.079248,292.0173637866974
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,8,20,0.01435,302.6108469963074
 , , ,20,50,128,0.0081995,312.2578556537628
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,8,0.0259065,322.91683864593506
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,0.0073545,332.3972635269165
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,0.0071705,342.3604531288147
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.007937,352.2387809753418
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,8,0.059589,363.8701720237732
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,50,0.010599500000000001,374.42998456954956
 , , ,80,8,8,0.008227,384.69265961647034
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16,0.024219499999999998,395.9205090999603
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,0.016721,406.8559386730194
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,0.0099225,416.82852959632874
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,32,0.0082745,426.46457958221436
 , , ,16,32,100,0.0057275,436.98305082321167
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.0098275,447.20772194862366
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.010134,458.1381175518036
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,256,0.0096475,468.64934849739075
 , , ,128,8,16,0.0077280000000000005,478.36400270462036
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,256,0.010884999999999999,488.5760269165039
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.009940500000000001,498.4817192554474
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.019001,509.24036288261414
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.0125305,519.6360476016998
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,32,128,0.0116545,530.5363478660583
