p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.0002745,10.551098585128784
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.000284,20.77949047088623
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,32,0.0006715,30.815300464630127
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.00047599999999999997,41.12198615074158
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.000767,51.80381894111633
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,80,0.0006490000000000001,62.56779456138611
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.001756,73.4791464805603
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.00047400000000000003,84.04084348678589
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,100,8,0.002314,95.15831255912781
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,20,0.0006585,105.36401176452637
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.0005985000000000001,115.90890574455261
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.001018,126.17447257041931
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.0006709999999999999,136.35609650611877
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.0004125,145.99041748046875
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,16,0.002339,157.8234326839447
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,0.000763,168.56405234336853
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,100,20,0.0004715,178.27202582359314
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,0.0009015,188.82350373268127
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.0006765,199.23338723182678
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,0.002,210.26745200157166
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,0.0004975,220.4666256904602
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,0.0003815,230.11826610565186
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,4,0.005049,241.56937217712402
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,20,256,0.0006985,252.10591459274292
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,16,100,0.0006475000000000001,262.87321186065674
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,128,0.0004695,272.8527181148529
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,50,4,0.0037670000000000004,283.6760194301605
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,8,20,0.0006685,294.1534814834595
 , , ,20,50,128,0.0002795,303.3687889575958
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,8,0.0013215000000000002,313.73521733283997
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,0.0002885,322.9482786655426
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,0.0002695,332.40081548690796
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.000375,342.00815057754517
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,8,0.003213,353.4754066467285
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,50,0.000647,363.87982296943665
 , , ,80,8,8,0.000291,373.60015988349915
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16,0.0010025,383.6553707122803
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,0.0005484999999999999,393.79966831207275
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,0.0004615,404.12233781814575
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,32,0.00025299999999999997,413.3913154602051
 , , ,16,32,100,0.00026199999999999997,422.821102142334
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.000377,432.4402244091034
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.0006425,442.7597744464874
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,256,0.0005009999999999999,452.793776512146
 , , ,128,8,16,0.0002525,462.23285150527954
