p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,4,0.012497500000000002,0.001323144243355372,11.262481212615967
 , ,4,2048,4,0.012274,0.0017027155198376797,21.318769693374634
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,0.0122805,0.0018277810749135045,31.33480215072632
 , ,4,2048,8,0.012221,0.002057176378232258,41.18679141998291
 , ,50,2048,4,0.0124875,0.002673371222329234,51.18277335166931
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,8,0.0126145,0.0031569778374598585,61.39480543136597
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,4,0.012346,0.003380960204314396,71.95517706871033
 , ,8,2048,4,0.012538,0.00353078015314099,81.85892820358276
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.0122455,0.003627722233047262,92.85973072052002
 , ,32,2048,8,0.012548,0.004256400711343552,102.77076482772827
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,0.0121625,0.004690773455940331,113.42681884765625
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,0.0128625,0.005087057833570806,124.10275506973267
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.0129635,0.0055060202296339025,134.83072471618652
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,0.012694,0.006676005953135512,144.88317227363586
 , ,100,2048,20,0.0130375,0.0067756900033931,155.39072966575623
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,0.012163,0.006813795282273139,166.20255184173584
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,8,0.0125635,0.006829475461201915,176.28277587890625
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,20,0.012997,0.007337021999320758,186.81069564819336
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,8,0.0123635,0.00818468832280745,197.00278759002686
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,0.012491,0.008542425260052278,207.09065628051758
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,20,0.013416500000000001,0.00995455166156372,217.27435421943665
 , ,16,2048,8,0.012425499999999999,0.010639862829096312,227.4187250137329
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,0.012684,0.012408006295216198,237.4107151031494
 , ,32,2048,4,0.0124965,0.014144165091097557,247.3707468509674
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,8,0.0121665,0.015152504127651921,258.41069054603577
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,0.012265999999999999,0.016086368853496714,268.55076265335083
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,20,0.013025499999999999,0.016270566763085123,279.3026521205902
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,8,0.012562,0.01683768614531141,289.3909251689911
 , ,128,2048,8,0.012158,0.016859805884654622,300.0308120250702
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,2048,4,0.012295500000000001,0.01697244617536699,310.8626992702484
