p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,0.0551485,8.168437480926514
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,0.055154999999999996,16.34837579727173
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,0.0551715,24.759936571121216
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,0.0551205,33.03295707702637
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,80,8,0.055140499999999995,41.168983459472656
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.0476295,50.973612785339355
 , ,4,16,50,0.055152,59.49492430686951
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,0.048533,68.4262068271637
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,4,80,0.0551315,76.55855655670166
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,80,80,0.05512,84.71859002113342
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,0.055219000000000004,93.11036157608032
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,64,80,0.0551435,101.43737459182739
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,0.05517,109.63421845436096
 , ,96,64,32,0.055095,117.91027283668518
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,0.055163000000000004,126.35316395759583
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,16,8,0.055138,134.55180954933167
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,80,0.0529995,143.32871651649475
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,0.0551195,151.49225115776062
 , ,50,50,32,0.055204,159.92421317100525
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,0.055163000000000004,168.02769303321838
