trial,generate,reject,close,sample,batch,prior,sample,external
0,24,1,0,0,0,1,14.909953117370605,0
1,53,1,0,0,0,1,29.98074197769165,0
2,76,1,0,0,0,1,44.858768939971924,0
3,107,1,0,0,0,1,59.937729597091675,0
4,138,3,0,0,0,3,74.7796220779419,0
5,168,4,0,0,0,4,89.70574522018433,0
6,189,4,0,0,0,4,104.73348021507263,0
7,216,5,0,0,0,5,119.58886051177979,0
8,245,7,0,0,0,7,134.63571691513062,0
9,274,8,0,0,0,8,149.55630254745483,0
10,305,9,0,0,0,9,164.42072248458862,0
11,328,11,0,0,0,11,179.49239945411682,0
12,352,12,0,0,0,12,194.35846590995789,0
13,379,13,0,0,0,13,209.44668340682983,0
14,404,15,0,0,0,15,224.32824516296387,0
15,426,16,0,0,0,16,239.43813061714172,0
16,457,16,0,0,0,16,254.308767080307,0
17,485,19,0,0,0,19,269.2544493675232,0
18,511,19,0,0,0,19,284.3278923034668,0
19,536,19,0,0,0,19,299.192667722702,0
20,563,21,0,0,0,21,314.298326253891,0
21,585,21,0,0,0,21,329.1672468185425,0
22,612,22,0,0,0,22,344.2960820198059,0
23,639,23,0,0,0,23,359.1740188598633,0
24,662,23,0,0,0,23,374.1372344493866,0
25,682,24,0,0,0,24,389.1703543663025,0
26,711,25,0,0,0,25,404.1300232410431,0
27,744,25,0,0,0,25,419.18634486198425,0
28,767,26,0,0,0,26,434.10821413993835,0
29,797,27,0,0,0,27,449.0311722755432,0
30,818,27,0,0,0,27,464.1393508911133,0
31,845,29,0,0,0,29,479.04266929626465,0
32,869,30,0,0,0,30,494.22819113731384,0
33,904,31,0,0,0,31,509.16097259521484,0
34,943,31,0,0,0,31,524.3619430065155,0
35,967,31,0,0,0,31,539.2075219154358,0
36,1002,31,0,0,0,31,554.143230676651,0
